"X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
9546,0,0.00608678,44,0,1956,NA,6,0,2,0,0
1215,0,0.099815157,57,0,0.232339826,4260,8,0,1,0,1
28332,0,0.15979976,47,0,0.1945,5999,5,0,1,0,2
60149,0,0.144588535,51,0,0.456343035,4500,12,0,1,0,0
33948,0,0.529894021,27,0,0.285102332,2100,5,0,0,0,0
13391,0,0.212622004,47,1,0.259130898,3750,13,0,0,0,0
104152,0,0.03433257,38,0,0.288350634,2600,15,0,1,0,1
62875,0,0.148180114,39,0,0.120707596,2882,7,0,0,0,0
63679,0,0.948601781,48,0,0.219824141,1250,3,0,0,0,2
142703,0,0.021529081,56,0,0.009141551,7000,10,0,0,0,3
37928,0,0.141545775,51,1,0.256305385,4400,5,0,2,2,3
63080,0,0.053109425,47,0,0.234751694,9000,6,0,1,0,1
89095,0,0.031309385,56,0,255,NA,10,0,1,0,0
70225,0,0.9999999,31,0,0.14012284,7000,3,0,0,0,0
14412,0,0.229584694,47,0,0.288451925,6000,3,0,1,0,1
40746,0,0.702980352,43,1,0.403241694,11166,10,0,2,0,3
22580,0,0.031163672,44,0,0.356728871,15700,9,0,3,0,0
97748,0,0.205728116,40,1,1327,NA,4,0,1,0,NA
41313,0,0.024637305,53,0,1.018392643,2500,12,0,3,0,0
28775,0,0.011778225,58,0,1327,NA,7,0,1,0,0
54846,0,0.320021117,55,1,1665,NA,5,0,1,0,0
121322,0,0.375700499,48,0,1949,NA,8,0,1,0,NA
1104,0,0.011073664,52,0,0.012372578,12850,4,0,0,0,3
39658,0,0.011302563,32,0,0.564069749,6250,10,0,2,0,1
149936,0,0.9999999,61,0,5,NA,1,0,0,1,0
125741,0,0.722364706,50,0,0.23581863,5270,9,0,0,0,0
85510,0,0.30298238,49,0,4897,NA,6,0,1,0,NA
118100,0,0.036474088,67,1,0.387241815,7116,8,0,1,0,0
54615,0,0.052782596,64,0,5169,NA,10,0,1,0,0
73806,0,0.854089721,62,0,0.714718672,7588,12,0,2,0,0
55542,0,0.012508736,71,1,1586,NA,10,0,1,0,0
60689,0,0.053343908,62,0,0.015775034,5831,4,0,0,0,0
79960,0,0.243516762,35,0,0.533693261,5000,8,0,1,0,0
46992,0,0.022854408,35,0,0.112607872,4750,10,0,0,0,0
121962,0,0.005620625,82,0,0.004241139,3300,4,0,0,0,1
113889,0,0.9999999,38,0,0.636671078,6800,11,0,1,0,0
147294,0,0,60,0,3501,NA,9,0,2,0,0
103597,0,0.103414543,71,0,0.446597353,6347,13,0,3,0,0
133452,0,0.055337601,57,0,1443,NA,7,0,1,0,NA
5910,0,0.001898686,93,0,2,NA,9,0,0,0,NA
95227,0,0.101647459,43,0,0.135440701,4333,2,0,0,0,2
30275,0,0.006187113,77,0,0.361659585,4000,4,0,1,0,0
119616,0,0.550422479,44,0,2346,NA,5,0,1,0,NA
29498,0,0.9999999,25,0,0.127248501,1500,1,0,0,0,1
78349,0,0.219857662,41,0,0.265414436,21667,8,0,1,0,3
93058,0,0.43245499,49,1,0.330625508,3692,10,0,0,0,2
31540,0,0.011059875,55,0,400,NA,7,0,0,0,0
103401,0,0.085883243,54,0,0.222787842,6678,12,0,1,0,0
139733,0,0.068867704,61,0,0.438532941,8833,17,0,1,0,0
33378,0,0.037730818,63,0,16,NA,2,0,0,0,0
112477,0,0.523764454,69,1,0.568842105,4749,11,0,2,0,0
31181,0,0.049185963,39,0,0.413884007,2275,6,0,1,0,0
16634,0,0,26,0,0,1300,2,0,0,0,1
54342,0,0.341022464,53,0,0.255538897,6002,23,0,1,0,0
11103,0,0.05774663,67,0,0.014189125,10500,9,0,0,0,0
36504,0,0,38,0,0.058992626,8000,2,0,0,0,0
85699,0,0.389328243,29,0,0.171131547,2500,2,0,0,0,0
37341,0,0.119585339,63,0,0.003598561,2500,2,0,0,0,0
39347,0,0.046289226,32,0,0.445310938,5000,8,0,1,0,1
64874,0,0.9999999,40,3,0.182549136,6715,3,0,1,0,0
89132,0,0.246288375,53,0,0.230571282,13600,15,0,1,0,1
137305,0,0.860307813,35,0,0.203559288,5000,6,0,0,0,2
29161,0,0.305570918,56,0,0.698919991,4536,18,0,1,0,1
60154,0,0.230408926,31,1,0.014631967,8952,2,0,0,0,2
71166,0,0.065911616,31,0,0.171068362,9200,10,0,1,0,0
126399,0,0.417277754,47,0,0.277568278,8750,9,0,2,0,2
148444,0,0.401344595,55,0,0.086184718,7773,15,0,0,0,0
148663,0,0.089080112,48,1,0.798098025,4100,6,0,1,0,0
133463,0,0.008981315,86,0,0.004910558,2850,3,0,0,0,0
99025,0,0.677076694,42,0,1125,NA,2,0,1,0,0
96072,0,0,49,1,1226,NA,3,0,1,0,0
38063,0,0,23,0,0,NA,1,0,0,0,0
60292,0,0.851820846,58,0,3101,NA,10,0,2,0,0
148025,0,0.088692118,58,0,4052,NA,17,0,1,0,0
89188,0,0.898686311,32,0,1.132420771,6720,13,0,7,0,0
63938,0,0.9999999,48,0,0.00462525,9512,1,0,0,0,0
71906,0,0.041709054,59,0,0.322836456,8700,10,0,2,0,0
81543,0,0.023207109,58,0,1450,NA,10,0,1,0,0
100581,0,0.9999999,21,0,0.133244504,1500,1,0,0,0,0
67249,0,0.342080539,74,0,0.93890143,6644,13,0,5,0,0
104610,0,0.010396802,61,0,0.0029521,10500,20,0,0,0,0
116707,0,0.642194397,57,0,0.281407035,9750,17,0,3,0,0
76867,0,0.689301124,63,0,0.554254712,3501,7,0,1,0,0
68720,0,0.007120673,70,0,598,0,4,0,0,0,1
56523,0,0.107857824,59,0,0.50709858,5000,6,0,1,0,1
83890,0,0.754530116,65,1,0.372034409,18250,11,0,3,0,1
26010,0,0.914160449,42,3,0.884566442,5500,10,0,3,0,2
70571,0,0.073862477,77,0,3716,NA,3,0,2,0,0
97926,0,0.130368333,59,0,0.230227374,11214,6,0,1,0,0
18358,0,0.014394358,50,0,0.16336479,16000,14,0,1,0,3
29456,0,0.073697186,57,0,0.344101529,10400,7,0,2,0,0
32905,0,0.005776922,66,0,0.475319927,546,12,0,0,0,0
36481,0,0.000155552,50,0,0.36654558,5780,11,0,1,0,2
146657,0,0.056776516,42,0,0.71002805,2851,9,0,1,0,0
139783,0,0.087112523,43,0,0.356115601,7300,3,0,1,0,1
138995,0,0.990733642,58,0,3607,0,10,0,3,0,0
26370,0,0.489865413,40,0,0.650304083,6905,13,0,2,0,2
21101,0,0.638312444,45,1,0.04603469,9166,6,0,0,0,0
77906,0,0.487456477,29,0,0.203949013,4000,6,0,0,0,1
124078,0,0.173756854,50,0,0.04275125,5800,5,0,0,0,3
70889,0,0.94366532,43,1,2692,NA,6,0,1,0,0
39789,0,0.140694187,33,0,0.224355129,5000,6,0,1,0,0
137930,0,1.019153034,58,0,5128,NA,15,0,2,0,0
20462,0,0.029399265,54,0,0.097932947,7933,3,0,0,0,0
106568,0,0.107735594,46,0,0.038627585,4400,4,0,0,0,2
149736,0,0.076086747,51,0,0.620088352,4300,18,0,1,0,0
14880,0,0,25,0,0,2100,1,0,0,0,0
46542,0,0.064662356,64,0,0.008961681,3235,2,0,0,0,0
119767,0,0.9999999,64,0,0.364694471,10309,7,0,3,0,0
88109,0,0.206979302,58,0,2328,NA,8,0,2,0,0
891,0,0.194625748,31,1,0.283571758,4333,20,0,0,0,0
68893,0,0.590840916,44,1,0.446072061,8464,5,0,1,0,2
26144,0,0.052786344,48,0,0.247731303,9586,19,0,3,0,0
99928,0,0.19536686,44,0,0.115647392,6000,5,0,0,0,1
14490,0,0.00344062,56,0,0.342779177,9527,9,0,2,0,2
69286,0,1.184473482,46,0,892,NA,5,0,0,0,0
14978,0,0.425677144,41,0,0.181768259,7283,10,0,0,0,0
53325,0,0.897796818,48,3,0.173239221,6516,13,1,1,0,1
44343,0,0,68,0,0,7000,5,0,0,0,0
140138,0,0.046805071,51,0,0.006461141,10833,5,0,0,0,0
17923,0,0.9999999,63,0,1.165680473,2365,4,1,1,1,0
145446,0,0.216205768,53,0,0.077984403,3333,13,0,0,0,0
55333,0,0,50,0,0.596486216,7000,8,0,2,0,1
148149,0,0.9999999,60,0,0.198521647,10416,4,2,1,0,2
56539,0,0.332988053,54,2,0.363103172,3750,7,0,1,0,2
57420,0,0.030976707,86,0,76,NA,5,0,0,0,NA
47926,0,0.816340136,46,0,0.481139221,6600,9,0,1,0,2
111111,0,0,22,0,0.051823417,2083,1,0,0,0,0
69096,0,0.034567225,71,0,0.415013932,6100,20,0,1,0,0
47796,0,1629,39,1,3880,NA,9,0,3,0,1
149988,0,0.9999999,28,0,0.055692308,3249,3,1,0,0,0
28267,0,0.233553289,39,0,0.016738403,2090,1,0,0,0,2
131577,0,0.071853721,73,0,0.389401773,5415,8,0,1,0,0
116478,0,0.255179004,60,0,0.213784301,4700,7,0,2,0,2
91803,0,0.024079174,71,0,0.005351247,8782,9,0,0,0,0
25458,0,0.00612671,51,0,0.171221788,10500,15,0,0,0,0
140751,0,0.029624599,39,0,0.510505724,6900,10,0,1,0,1
47117,0,0.161179819,35,0,0.312121212,15839,6,0,2,0,5
17625,0,0.026142082,56,0,0.191558442,2463,7,0,0,0,0
125567,0,0.01786856,55,0,0.356520497,7000,16,0,2,0,2
103045,0,0.120671189,42,0,0.564730219,5800,9,0,2,0,0
21041,0,0.110753396,63,1,135,NA,4,0,0,0,NA
138622,0,0.361026158,52,0,0.243431888,12750,19,0,1,0,2
106226,0,0.021499173,61,0,0.406865861,12583,10,0,3,0,0
78272,0,0.14373171,67,0,0.78797621,6220,9,0,2,0,0
99664,0,0.393685535,56,1,0.289335533,6666,15,0,1,0,0
46037,0,0.042791096,38,0,0.21611348,10785,4,0,1,0,1
114338,0,0.377201267,46,0,728,NA,4,0,0,0,0
90214,0,0.059045835,58,0,0.264473553,10000,10,0,2,0,1
53949,0,0.171908788,62,0,0.393939394,6500,13,0,1,0,0
79374,0,0.064907885,65,0,0.396480804,4375,12,0,1,0,1
21273,0,0,58,0,0.294682127,2500,11,0,1,0,2
37834,0,0.001016219,78,0,0.20916641,3250,7,0,0,0,0
103817,0,0,78,0,840,NA,10,0,1,0,0
49218,0,0.800753098,60,1,0.469080553,4915,10,1,1,1,1
107170,0,0.168329162,56,0,4588,NA,9,0,2,0,0
134354,0,0.177592896,53,0,0.18819848,6710,3,0,1,0,0
30525,0,0.317940366,49,1,0.668158224,5586,14,0,1,0,1
116618,0,0.43626883,66,1,0.181163767,5000,11,0,0,1,0
82227,0,0.9999999,44,0,0.629504232,4134,3,0,2,2,2
139143,0,0.061876248,35,0,0.039055404,1100,1,1,0,1,1
52416,0,0.407659473,51,0,0.097403645,6200,5,0,0,0,0
142783,0,0.066064181,72,0,0.009581337,4800,2,0,0,0,0
5446,0,0.761243753,36,0,0.089485086,6000,6,0,0,0,1
88526,0,0.096617103,72,0,0.011233087,3916,1,0,0,0,0
99642,0,0.015174929,79,0,0.093720837,7500,14,0,1,0,0
131938,0,0.731807131,48,0,0.315574454,11993,15,0,0,0,1
17292,0,0.042539149,69,0,78,NA,12,0,0,0,NA
68743,0,0.988414592,42,0,0.630588017,10781,11,0,6,0,1
20356,0,0.063916697,49,0,0.382861714,10000,11,0,3,0,2
93223,0,0.71241566,37,0,0.280777702,13166,9,0,2,0,2
84291,0,0.093401259,65,0,0.046079493,12000,16,0,0,0,0
85481,0,0.499766952,63,0,0.585893474,5500,8,0,1,0,0
68130,0,0.954172174,64,0,0.818150209,2875,15,0,0,0,0
140668,0,0.150341714,60,1,1.920327625,4028,29,0,13,0,3
72212,0,0.181645826,59,0,0.240810979,14500,23,0,1,0,0
66714,0,0.0722328,60,1,0.294719568,10358,10,0,2,0,0
19269,0,0.009485579,73,0,0.534493101,5000,9,0,2,0,0
66201,0,0.704295704,29,0,0.058529622,1400,2,0,0,0,0
1880,0,0.014083737,67,0,0.129409265,4705,7,0,1,0,0
9242,0,0.475975577,41,0,0.180259963,7000,7,0,1,0,8
97038,0,0.65487267,50,1,0.991345397,5083,13,0,1,0,0
127528,0,0.460484651,55,0,2628,NA,12,0,2,0,0
64433,0,0.003826123,81,1,0.178688759,7000,18,0,2,0,0
19564,0,0.059453464,63,1,0.0388508,3062,3,0,0,0,0
20787,0,0.000367332,62,0,0,4250,2,0,0,0,1
67219,0,0.991190896,54,0,0.797387363,3750,5,0,3,0,0
23434,0,0.452343075,43,0,0.656242919,4412,5,0,1,0,1
91418,0,0.494029763,56,0,0.17531369,14185,9,0,1,0,1
72312,0,0.029810196,56,0,0.5130674,9450,11,0,1,0,1
137094,0,0.296414456,41,0,598,NA,4,0,0,1,0
136357,0,0.044665099,57,1,0.569145667,3253,8,0,1,1,1
6581,0,0.419802933,66,0,0.558427855,3790,10,0,2,0,0
80944,0,0.459050778,51,0,0.161811364,10400,8,0,1,0,4
148820,0,0.053270398,68,0,0.056259503,1972,5,0,0,0,0
89650,0,0.028622158,62,0,0.258537936,10833,23,0,1,0,2
44124,0,0.217492398,34,0,0.297989793,9600,8,0,2,0,1
102662,0,0,54,2,0.351324338,2000,6,0,0,0,1
145838,0,0.649171984,71,0,0.37350973,13000,13,0,3,0,0
15366,0,0.018992764,74,0,0.07642682,23250,16,0,1,0,1
71095,0,0.146484008,29,0,0.432985007,2200,9,0,0,0,0
72474,0,0.066150454,47,0,3726,NA,6,0,1,0,0
72711,0,0.0203942,58,0,0.185420273,10397,5,0,1,1,1
47259,0,0.029072225,36,0,26,NA,7,0,0,0,0
105753,0,0.628124912,77,0,2217,NA,16,0,1,0,0
1812,0,0.042970201,40,0,45,0,6,0,0,0,0
1611,0,0.023224944,64,0,0.391854139,6800,18,0,4,0,3
67982,0,0.055203492,29,0,0.646772229,820,7,0,0,0,0
89301,0,0.71505938,49,1,0.157471549,8083,7,0,0,0,2
43262,0,0,31,0,0.651269036,3939,8,0,2,0,1
63385,0,0.044838635,79,0,718,NA,22,0,2,0,1
18832,0,0.950512744,34,0,0.327597917,4416,10,0,0,0,0
98762,0,0.057602455,61,0,0.302950663,8370,4,0,1,0,1
91556,0,0.118234455,49,0,0.187821804,8933,10,0,0,0,3
125705,0,0.063061643,62,0,0.319174466,4166,12,0,2,0,0
82017,0,0.057276084,57,0,0.145866809,5600,4,0,1,0,0
108911,0,0.749986302,48,0,0.307118534,6166,9,0,1,0,1
92690,0,0.406019475,43,0,0.461592754,8500,9,0,2,0,3
136769,0,0.153019697,55,0,0.187873913,19890,6,0,2,0,3
101287,0,0.015256925,74,0,0.008247938,4000,2,0,0,0,0
49075,0,0.003474913,61,0,0.000731636,6833,4,1,0,0,1
126436,0,0,31,0,0.716492503,2200,6,0,1,0,0
103979,0,0.9999999,52,0,0,NA,5,0,0,0,0
17849,0,0,55,0,0.816721625,9400,8,0,2,0,0
122324,0,0.262688503,56,0,0.491135421,2650,12,0,1,0,0
133297,0,0.830042489,41,1,0.405998696,4600,7,0,1,1,2
31822,0,0.25497897,56,0,0.182515694,4300,6,0,0,0,1
86908,0,0.022563232,57,0,0.009373828,8000,9,0,0,0,0
34705,0,0.003710834,70,0,2698,NA,10,0,1,0,0
102344,0,0.909727182,32,0,0.21060639,4600,7,0,0,0,1
79132,0,0.046049177,69,0,0.79253665,2250,8,0,1,0,0
28613,0,0.432132283,64,0,0.391128614,9648,21,0,2,0,0
149374,0,0.072446072,74,0,0.581132443,10260,6,0,3,0,0
21551,0,0.067842168,27,0,18,NA,2,0,0,0,0
56621,0,0.095893733,53,0,2828,NA,7,0,1,0,0
69574,0,0.042552397,62,0,0.276386181,20000,14,0,2,0,2
118885,0,0.857232766,36,2,5195,NA,16,0,2,1,0
720,0,1.163184115,52,0,0.319174181,4213,7,0,0,0,0
80516,0,0.073585283,26,0,20,1,1,0,0,0,0
130542,0,0.596251904,42,0,0.849830034,5000,13,0,1,0,0
133055,0,0,57,0,0.198640181,7500,11,0,2,0,0
98182,0,0.270334818,37,0,0.325337331,2000,12,0,0,0,3
105159,0,0,32,0,0.307074762,1992,5,0,0,0,0
35555,0,0.735403187,56,0,2163,NA,6,0,1,0,0
24314,0,0.9999999,38,0,21,NA,0,2,0,0,0
91777,0,0,84,0,0,2500,2,0,0,0,0
51745,0,0.738666266,33,0,0.162687396,1800,4,0,0,0,1
90493,0,0.314407259,54,0,4769,NA,15,0,2,0,0
131338,0,1.066933067,71,0,116,NA,6,0,0,0,0
46873,0,0,51,0,0,6200,2,0,0,0,2
126959,0,0.69108542,36,0,0.319908598,3500,5,0,0,0,0
60247,0,0.69089178,45,0,0.161493951,1900,7,0,0,0,2
29319,0,0.35698725,67,0,0.10936357,2733,2,0,0,0,0
51625,0,0,62,0,2954,NA,10,0,2,0,0
58351,0,0.068073298,61,0,1298,NA,10,0,1,0,0
145927,0,0.417741317,36,0,0.465075155,7916,13,0,2,0,0
91494,0,0,25,2,0.261020882,1723,7,0,0,0,0
16489,0,0.162300636,77,0,0.227886057,2000,8,0,0,0,0
33929,0,0.095112391,48,0,0.247101891,4916,3,0,1,0,0
54114,0,0.016926593,55,0,0.002591793,20834,7,0,0,0,1
40367,0,0.002052312,58,0,646,NA,4,0,1,0,0
118236,0,0.118338988,46,0,0.460634841,4000,20,0,2,0,1
52328,0,0.127745071,80,0,41,NA,1,0,0,0,0
143706,0,0.011859763,87,1,0.003362237,5650,3,0,0,0,0
101202,0,1.028413028,49,1,0.662168916,2000,8,0,0,0,0
44628,0,0.021499428,78,0,0.052486878,4000,17,0,0,0,0
63427,0,0.210211105,53,0,0.185204967,7488,6,0,1,0,0
98016,0,0.26253976,43,0,0.340028084,23500,25,0,7,0,0
95706,0,0.17912875,58,0,0.204626914,3068,4,0,0,0,1
52765,0,0.008912656,35,0,1618,NA,4,0,2,0,0
49529,0,0.009188998,54,0,0.299031707,10533,7,0,1,0,1
99488,0,0.268842037,61,0,0.518317069,6250,20,0,2,0,0
86440,0,0.044402615,70,0,0.533740628,3600,19,0,2,0,0
62620,0,0.219478204,48,0,0.724534433,8000,17,0,3,0,0
75282,0,0.147259112,40,0,0.525158281,3000,7,0,1,0,1
10450,0,0.019831758,44,0,0.353864614,10000,13,0,2,0,3
56477,0,0.870683909,64,0,0.139900071,1400,2,0,0,0,0
16428,0,0.930818615,69,0,6974,NA,35,0,2,0,0
13769,0,0.616883939,27,0,0.211148137,3300,3,0,0,0,0
126304,0,0.63851791,40,0,0.062320972,12916,6,0,0,0,2
86961,0,0.036950093,35,0,2.237410072,1250,8,0,2,0,0
