"id","Instance_number","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","Cluster","SeriousDlqin2yrs"
24,23,0.075427,32,0,0.085512,"7916",6,0,0,0,"0","cluster0","n"
25,24,0.04656,58,0,0.241622,"2416",9,0,1,0,"0","cluster0","n"
26,25,0.392248,50,0,1.595253,"4676",14,0,3,0,"1","cluster0","y"
27,26,0.052436,58,0,0.097672,"8333",22,0,1,0,"0","cluster0","n"
28,27,0.034421,69,0,0.042383,"2500",17,0,0,0,"1","cluster0","n"
29,28,0.452516,24,0,0.011761,"3400",1,0,0,0,"0","cluster0","n"
30,29,0.392995,58,2,0.436103,"5500",15,0,1,0,"0","cluster0","n"
31,30,0.704074,28,1,0.155201,"4200",8,0,0,0,"0","cluster0","n"
32,31,1,24,0,0.472703,"750",1,0,0,0,"0","cluster0","n"
33,32,0.083418,62,0,977,"?",6,0,1,0,"0","cluster0","n"
34,33,0.186869,57,0,0.313812,"7000",9,0,2,0,"0","cluster0","n"
35,34,0.69333,42,2,0.257732,"2230",7,0,0,0,"0","cluster0","n"
36,35,0,64,0,0.073539,"11000",9,0,1,0,"0","cluster0","n"
37,36,0.881836,50,3,0.567858,"4000",9,0,1,0,"1","cluster0","n"
38,37,1,75,1,0.134078,"3400",1,0,1,0,"1","cluster0","n"
39,38,0.363636,26,0,0.00999,"1000",1,0,0,0,"0","cluster0","n"
40,39,0.304491,52,0,0.80834,"3500",10,0,2,0,"0","cluster0","n"
41,40,0.719985,41,1,0.539554,"5700",14,0,1,0,"0","cluster0","n"
42,41,0.072898,81,0,75,"?",7,0,0,0,"0","cluster0","n"
43,42,0.469057,31,0,0.048211,"9250",4,0,0,0,"1","cluster0","n"
44,43,0.718705,28,0,0.170126,"3661",4,0,0,0,"1","cluster0","n"
45,44,0.368876,68,0,1687.5,"1",31,0,1,0,"0","cluster0","n"
46,45,0.000603,70,0,0.177787,"16800",12,0,1,0,"2","cluster0","n"
47,46,0.06144,62,0,0.011168,"3133",2,0,0,0,"0","cluster0","n"
48,47,0.140111,31,0,0.68937,"1937",4,0,2,0,"0","cluster0","n"
49,48,0.834048,38,0,0.393662,"13000",13,0,2,0,"2","cluster0","n"
50,49,8e-05,70,0,0.25634,"6900",21,1,1,0,"0","cluster0","n"
51,50,0.818978,73,0,3095,"0",9,0,1,1,"0","cluster0","n"
52,51,0.72815,31,0,0.824725,"3000",10,0,2,0,"1","cluster0","y"
53,52,1,62,0,0,"?",1,0,0,0,"0","cluster0","n"
54,53,0.028562,51,0,0.306381,"5750",5,0,1,0,"0","cluster0","n"
55,54,0.992016,29,0,0.008065,"2231",1,0,0,0,"0","cluster0","n"
56,55,0.070854,55,0,0.073148,"13793",4,0,1,0,"0","cluster0","n"
57,56,0.454972,46,1,0.016922,"13000",10,0,0,0,"1","cluster0","n"
58,57,0.4012,64,0,0.351259,"3216",4,0,1,0,"0","cluster0","n"
59,58,0.541109,43,0,2477,"?",3,0,1,0,"2","cluster0","n"
60,59,0.65557,35,0,0.26161,"5813",10,0,0,0,"2","cluster0","n"
61,60,0.651603,58,0,0.241136,"7783",11,0,1,0,"0","cluster0","n"
62,61,0.0274,69,0,0.008034,"5600",3,0,0,0,"0","cluster0","n"
63,62,0.101156,72,0,1720,"?",12,0,2,0,"0","cluster0","n"
64,63,0.009789,46,0,1.051398,"3326",6,0,2,0,"2","cluster0","n"
65,64,0.337521,60,0,0.549878,"4500",10,0,2,0,"0","cluster0","n"
66,65,0,67,0,0.540984,"3720",2,0,1,0,"0","cluster0","n"
67,66,0.750874,55,2,0.316416,"7723",17,0,1,0,"1","cluster0","n"
68,67,0.006799,27,1,0.681046,"764",3,0,0,0,"0","cluster0","n"
69,68,0.004264,31,0,0.111444,"2000",6,1,0,0,"2","cluster0","n"
70,69,0.269484,64,0,0.161062,"9455",13,0,1,0,"3","cluster0","n"
71,70,0.265898,36,0,0.262612,"8384",6,0,2,0,"1","cluster0","n"
72,71,0.142013,67,0,1824,"?",7,0,2,0,"0","cluster0","n"
73,72,0.827708,56,0,0.369591,"6793",15,1,1,0,"0","cluster0","n"
74,73,0.059669,31,0,3162,"0",11,0,2,0,"1","cluster0","n"
75,74,0.133063,49,1,0.182882,"10257",9,0,2,0,"3","cluster0","y"
76,75,0.234218,36,0,0.116614,"8600",19,0,0,0,"3","cluster0","n"
77,76,0.122296,29,0,0.694647,"4800",5,0,1,0,"0","cluster0","n"
78,77,0.460376,37,0,0.074156,"4975",6,0,0,0,"0","cluster0","n"
79,78,0.335559,69,0,0.270449,"15000",14,0,2,0,"1","cluster0","n"
80,79,0.270523,41,0,2.797699,"1042",11,0,2,0,"2","cluster0","n"
81,80,0.183317,52,0,0.111132,"10833",14,0,2,0,"1","cluster0","n"
82,81,0.074862,66,0,0.208842,"4500",3,0,1,0,"0","cluster0","n"
83,82,0.017259,53,0,2.604511,"12414",13,0,1,0,"2","cluster0","n"
84,83,0.054497,56,0,0.492022,"4950",18,0,2,0,"0","cluster0","n"
85,84,0.029164,31,0,0.395032,"3300",10,0,1,0,"0","cluster0","n"
86,85,0,58,0,0.316145,"4886",9,0,1,0,"1","cluster0","n"
87,86,0.36051,58,1,3282,"?",8,0,2,0,"0","cluster0","n"
88,87,0.00375,64,0,0.004061,"3200",5,0,0,1,"0","cluster0","n"
89,88,0.734478,45,0,0.591478,"4716",13,0,2,0,"2","cluster0","y"
90,89,0.080564,60,0,0.487289,"4916",15,0,2,0,"0","cluster0","n"
91,90,0.039388,51,0,15466,"0",7,0,0,0,"0","cluster0","n"
92,91,0.023767,83,0,0.123798,"10500",13,0,0,0,"0","cluster0","n"
93,92,0.784836,52,0,2662,"?",10,0,2,1,"0","cluster0","n"
94,93,0.888822,34,0,0.368404,"3050",4,0,0,0,"1","cluster0","n"
95,94,0.791174,44,0,0.512415,"3100",5,0,1,0,"0","cluster0","n"
96,95,0.245353,37,0,0.288417,"6500",11,1,1,1,"0","cluster0","n"
97,96,0.542243,48,2,10,"?",2,0,0,0,"?","cluster0","n"
98,97,0.010531,57,0,0.280665,"5714",6,0,1,0,"0","cluster0","n"
99,98,0.3632,32,0,0.480524,"2900",4,0,1,0,"0","cluster0","n"
100,99,0.032618,75,0,0.006799,"7500",4,0,0,0,"0","cluster0","n"
101,100,0.013025,61,0,15,"?",4,0,0,0,"0","cluster0","n"
102,101,0.019388,34,0,0.325919,"4000",9,0,1,0,"0","cluster0","n"
103,102,0.634485,52,0,0.138239,"2690",2,0,0,0,"0","cluster0","n"
104,103,0.888009,44,0,0.299246,"4908",8,0,0,0,"1","cluster0","n"
105,104,0.003109,57,0,0.258939,"8333",7,0,1,0,"0","cluster0","n"
106,105,0.114831,46,0,0.026236,"6250",6,0,0,0,"3","cluster0","n"
107,106,0.018887,80,0,0.003479,"10060",5,0,0,0,"0","cluster0","n"
108,107,0.635415,32,0,0.519494,"3000",4,0,1,0,"1","cluster0","n"
109,108,1,62,0,0.664221,"8314",8,0,3,0,"0","cluster0","n"
110,109,0.041258,61,0,4739,"?",11,0,4,0,"?","cluster0","n"
111,110,0.096737,47,0,0.009749,"8000",2,0,0,0,"2","cluster0","n"
112,111,0.318446,58,0,1.382629,"3833",26,0,4,0,"0","cluster0","n"
113,112,0.186988,52,0,0.023993,"3500",4,0,0,0,"0","cluster0","n"
114,113,0.006542,68,0,0.108089,"10000",10,0,2,0,"1","cluster0","n"
115,114,0.180972,39,1,0.384442,"3097",7,0,1,0,"3","cluster0","n"
116,115,0.007508,74,0,7,"?",4,0,0,0,"0","cluster0","n"
117,116,0.067907,46,0,0.149103,"10200",6,0,2,0,"0","cluster0","n"
118,117,0.033462,44,0,1.243363,"4067",5,0,2,0,"1","cluster0","n"
119,118,0.007521,68,0,269,"?",4,0,0,0,"0","cluster0","n"
120,119,0.015272,68,0,0.122904,"8168",6,0,0,0,"0","cluster0","n"
121,120,0.517121,31,0,0.123752,"500",3,0,0,0,"0","cluster0","n"
122,121,0.317976,34,0,0.297934,"4500",11,0,2,0,"0","cluster0","n"
123,122,0.297595,67,0,0.239508,"4145",13,0,0,0,"0","cluster0","n"
124,123,0.444838,58,0,0.366545,"14000",9,0,2,1,"4","cluster0","n"
125,124,0.277957,39,0,4090,"?",9,0,2,0,"0","cluster0","n"
126,125,0.003722,58,0,0.633323,"3228",5,0,1,0,"0","cluster0","n"
127,126,0,61,0,0.22266,"3300",14,0,1,0,"0","cluster0","n"
128,127,0,59,0,0.218854,"19167",13,0,2,0,"0","cluster0","n"
129,128,0.151913,36,0,0.266394,"12000",22,0,2,0,"0","cluster0","n"
130,129,0,59,0,0.3517,"4500",12,0,1,0,"0","cluster0","n"
131,130,0.175728,43,1,994,"?",4,0,1,0,"0","cluster0","n"
132,131,0.011499,77,0,0.001998,"1000",1,0,0,0,"0","cluster0","n"
133,132,0,48,0,0.517469,"4550",7,0,2,0,"0","cluster0","n"
134,133,0.163037,81,0,0.086483,"2751",7,0,0,0,"1","cluster0","n"
135,134,0.047312,51,0,0.10092,"3150",5,0,0,0,"0","cluster0","n"
136,135,0.08388,53,0,0.199648,"7943",8,0,1,0,"0","cluster0","n"
137,136,0.089478,56,0,1.065902,"2700",11,0,1,0,"2","cluster0","n"
138,137,0.773519,63,0,1.129227,"4139",12,0,1,0,"1","cluster0","n"
139,138,0.093962,55,0,0.112052,"9450",6,0,2,0,"0","cluster0","n"
140,139,0.21955,54,0,0.315984,"5417",20,0,2,0,"1","cluster0","n"
141,140,0.147996,55,0,0.323088,"6799",5,0,1,0,"0","cluster0","n"
142,141,0.576519,72,0,3031,"?",11,0,1,0,"0","cluster0","n"
143,142,0.243872,53,0,0.534028,"8639",22,0,2,0,"3","cluster0","n"
144,143,0.362484,27,0,567,"?",4,0,0,0,"0","cluster0","n"
145,144,0.116677,31,0,0.343594,"3800",7,0,1,0,"0","cluster0","n"
146,145,1,38,0,0.4337,"5821",7,0,1,0,"4","cluster0","n"
147,146,0.496912,40,0,0.452364,"12500",11,0,2,0,"2","cluster0","n"
148,147,0.130902,48,1,0.427882,"3937",17,0,1,0,"0","cluster0","n"
149,148,0.546999,50,0,0.748072,"3500",9,0,2,0,"3","cluster0","n"
150,149,0.072277,34,0,0.025912,"2083",2,0,0,0,"0","cluster0","n"
151,150,0,48,2,0.370876,"3000",14,0,1,0,"5","cluster0","n"
152,151,0.175932,57,1,0.655813,"3500",9,0,1,0,"1","cluster0","n"
153,152,0.05079,30,0,0.315171,"4000",4,0,1,0,"1","cluster0","n"
154,153,0,28,0,0.144616,"3166",7,0,0,0,"0","cluster0","n"
155,154,0.21286,36,0,0.563752,"9583",10,0,2,0,"1","cluster0","n"
156,155,0.012682,60,0,0.41298,"6825",20,0,2,0,"0","cluster0","n"
157,156,0.121557,58,0,0.342971,"12000",23,0,2,0,"4","cluster0","n"
158,157,0.040795,49,0,0.801999,"3100",11,0,1,0,"0","cluster0","n"
159,158,0.147712,40,0,0.034848,"6800",6,0,0,0,"3","cluster0","n"
160,159,0,63,0,2,"?",4,0,0,0,"?","cluster0","n"
161,160,0,50,1,0.726567,"3477",5,0,1,0,"1","cluster0","n"
162,161,0.070772,38,0,2088,"?",6,0,1,0,"0","cluster0","n"
163,162,1.046279,47,1,1.104301,"5416",6,0,2,0,"1","cluster0","y"
164,163,0.32372,63,0,0.610841,"5146",9,0,2,0,"2","cluster0","n"
165,164,0.364598,42,0,0.593899,"6916",7,0,3,0,"0","cluster0","n"
166,165,0.637736,54,2,3.382196,"1875",9,0,2,0,"0","cluster0","n"
167,166,0.08138,63,0,1268,"?",8,0,1,0,"0","cluster0","n"
168,167,0.020966,29,0,639.5,"1",3,0,1,0,"2","cluster0","n"
169,168,0.170103,36,0,0.138462,"7734",8,0,0,0,"0","cluster0","n"
170,169,0.771846,33,0,0.85243,"5000",7,0,3,0,"0","cluster0","n"
171,170,0.055382,72,0,0.089091,"4500",4,0,0,0,"0","cluster0","n"
172,171,1,29,0,974,"?",2,0,0,0,"0","cluster0","n"
173,172,0.166533,53,0,0.543626,"7506",11,0,3,0,"3","cluster0","n"
174,173,0.008632,79,0,0.365151,"4200",9,0,1,0,"0","cluster0","n"
175,174,0.13528,58,0,0.342005,"9455",11,0,2,0,"2","cluster0","n"
176,175,0.167571,69,0,0.330734,"5000",10,0,1,0,"1","cluster0","n"
177,176,1,69,0,0.005319,"2255",0,1,0,0,"3","cluster0","n"
178,177,0.068335,75,0,0.010928,"10065",9,0,0,0,"0","cluster0","n"
179,178,0,41,0,0.907539,"2400",6,0,1,0,"0","cluster0","n"
180,179,0.946964,35,0,1593,"?",6,0,1,0,"1","cluster0","y"
181,180,0.405184,46,0,0.667835,"7700",22,0,2,0,"1","cluster0","n"
182,181,0.055549,65,0,2177,"?",6,0,1,0,"1","cluster0","n"
183,182,0.676195,55,0,0.436666,"3970",10,1,1,0,"0","cluster0","n"
184,183,0.184987,55,4,3144,"?",11,0,1,0,"0","cluster0","n"
185,184,0.085338,51,0,0.477504,"6200",11,0,1,0,"0","cluster0","y"
186,185,0,25,0,0.152897,"2916",3,0,0,1,"0","cluster0","y"
187,186,0.786485,44,0,0.29171,"3883",7,2,0,2,"1","cluster0","y"
188,187,0.01121,86,0,13,"?",3,0,0,0,"0","cluster0","n"
189,188,0.038335,56,0,0.438912,"5000",7,0,2,0,"0","cluster0","n"
190,189,0.71498,55,0,0.470902,"15000",12,0,2,0,"3","cluster0","n"
191,190,0.043032,64,0,0.332016,"6833",14,0,2,0,"0","cluster0","n"
192,191,1.095083,53,5,0.536704,"3500",7,1,1,2,"0","cluster0","n"
193,192,0,49,0,2932,"?",11,0,1,0,"0","cluster0","n"
194,193,1,55,0,0.15626,"3250",5,0,0,0,"4","cluster0","n"
195,194,0.10143,80,1,0.016197,"5000",9,0,0,0,"0","cluster0","n"
196,195,0.025892,38,0,74.5,"1",13,0,0,0,"2","cluster0","y"
197,196,0.762159,44,4,0.224466,"21000",5,0,1,0,"3","cluster0","n"
198,197,0.231692,40,0,0.119661,"3300",7,0,0,0,"0","cluster0","n"
199,198,0.114869,35,0,103,"?",6,0,0,0,"0","cluster0","n"
200,199,0.03549,69,0,0.308439,"3400",9,0,1,0,"0","cluster0","n"
201,200,0.045424,64,0,0.181311,"5200",4,0,1,0,"0","cluster0","n"
202,201,0.311955,61,0,0.269281,"9866",12,0,2,0,"2","cluster0","n"
203,202,0.078739,46,0,0.166215,"4800",6,0,1,0,"4","cluster0","n"
204,203,0.137609,49,0,0.429534,"7272",11,0,2,0,"0","cluster0","n"
205,204,0.030173,64,0,0.17387,"9000",8,0,1,0,"0","cluster0","n"
206,205,0.021978,40,0,0.443756,"10000",12,0,5,0,"2","cluster0","n"
207,206,0.443697,27,0,0.02434,"5833",4,0,0,0,"0","cluster0","n"
208,207,0.007507,60,0,1253,"?",8,0,1,0,"1","cluster0","n"
209,208,0.04664,92,1,0.034327,"2650",13,0,0,0,"0","cluster0","n"
210,209,0.292366,50,0,0.420181,"8750",8,0,2,0,"0","cluster0","n"
211,210,0.208083,64,0,2826,"?",14,0,2,0,"0","cluster0","n"
212,211,1,66,1,0.358101,"1937",4,1,0,0,"0","cluster0","n"
213,212,0.013501,53,0,0.183464,"19000",8,0,1,0,"2","cluster0","n"
214,213,1,62,0,0.049658,"6000",1,0,0,0,"0","cluster0","n"
215,214,0.655316,63,0,5223,"?",19,0,2,0,"0","cluster0","y"
216,215,1,50,2,1208,"?",4,0,1,0,"0","cluster0","n"
217,216,0.028114,61,0,0.031349,"2200",12,0,0,0,"0","cluster0","n"
218,217,0.222696,42,0,800,"1",3,0,1,0,"2","cluster0","n"
219,218,0.593985,63,0,0.332699,"5250",4,0,2,0,"0","cluster0","n"
220,219,0.017508,73,1,0.135589,"4166",12,0,1,0,"0","cluster0","n"
221,220,0.611866,72,0,0.045783,"7600",3,0,1,0,"0","cluster0","n"
222,221,0.333061,52,3,0.700153,"5215",15,0,2,1,"0","cluster0","n"
223,222,0.009025,45,0,0.376836,"8167",4,0,1,0,"2","cluster0","n"
224,223,0.260272,44,0,0.296855,"6962",11,0,1,0,"0","cluster0","n"
225,224,0.455951,63,1,0.701766,"6001",19,0,2,0,"0","cluster0","n"
226,225,0.080288,37,0,0.322446,"6000",7,0,1,0,"0","cluster0","n"
227,226,1.953488,38,0,0.1535,"3556",5,0,0,0,"2","cluster0","y"
228,227,0.181557,36,0,0.56072,"2000",7,0,1,0,"1","cluster0","n"
229,228,0.147124,41,0,0.436026,"6400",5,0,1,0,"2","cluster0","n"
230,229,0.025602,63,1,0.262774,"10000",8,0,1,0,"0","cluster0","n"
231,230,0,76,0,0.002466,"7704",3,0,0,0,"0","cluster0","n"
232,231,0.196373,43,0,0.537486,"2600",10,0,1,0,"0","cluster0","n"
233,232,0.083945,64,0,0.588073,"2900",6,0,1,0,"0","cluster0","n"
234,233,0.034833,67,0,0.460246,"12916",9,0,2,0,"0","cluster0","n"
235,234,0.787522,52,0,0.35386,"4416",12,0,0,0,"1","cluster0","n"
236,235,0,66,0,3730,"?",8,0,1,0,"0","cluster0","n"
237,236,0.125429,55,0,0.476705,"5000",3,0,2,0,"0","cluster0","n"
238,237,0.060375,42,0,0.578677,"5833",17,0,2,0,"2","cluster0","n"
239,238,1,28,0,0,"?",0,0,0,0,"?","cluster0","n"
240,239,0.295928,47,0,0.283765,"14000",6,0,2,0,"1","cluster0","n"
241,240,0.973339,61,1,0.209962,"5500",11,0,0,1,"1","cluster0","y"
242,241,0.002857,73,0,0.000286,"10500",10,0,0,0,"0","cluster0","n"
243,242,0.877565,58,0,2825,"?",10,0,2,0,"0","cluster0","n"
244,243,1,68,0,0.040493,"6000",0,0,0,0,"0","cluster0","n"
245,244,0.053432,41,0,0.203644,"9000",3,0,1,0,"0","cluster0","n"
246,245,0.732661,44,2,0.14042,"9200",15,0,1,0,"0","cluster0","n"
247,246,0.08422,42,0,0.458551,"6694",26,0,2,0,"4","cluster0","n"
248,247,0.114562,40,0,0.359964,"10000",20,0,2,0,"2","cluster0","n"
249,248,0.012151,78,0,0.008887,"4500",12,0,0,0,"0","cluster0","n"
250,249,0.081311,81,0,0.165567,"3333",4,0,0,0,"0","cluster0","n"
251,250,0.098113,49,0,0.257018,"6625",9,0,2,0,"0","cluster0","n"
252,251,1.048211,58,7,0.151957,"3500",12,0,0,0,"0","cluster0","y"
253,252,0.011884,54,0,0.092914,"9750",8,0,1,0,"2","cluster0","n"
254,253,0.752649,33,1,0.058323,"7166",6,0,0,0,"0","cluster0","n"
255,254,0.112321,53,0,0.26691,"8500",9,0,1,0,"5","cluster0","n"
256,255,0,23,0,0,"1725",1,0,0,0,"0","cluster0","n"
257,256,0.634327,49,1,0.123125,"15000",7,0,0,0,"1","cluster0","n"
258,257,0.155763,44,0,0.278077,"4825",4,0,1,0,"2","cluster0","n"
259,258,0,63,0,0.007989,"9387",9,0,0,0,"0","cluster0","n"
260,259,0.090615,42,0,86,"?",5,0,0,0,"0","cluster0","n"
261,260,0.034645,65,0,0.12519,"12500",4,0,1,0,"1","cluster0","n"
262,261,0.027446,54,0,1612,"?",6,0,1,0,"0","cluster0","n"
263,262,0.412399,28,0,0.03726,"4991",5,0,0,0,"0","cluster0","n"
264,263,0.024671,78,0,392,"?",6,0,1,0,"?","cluster0","n"
265,264,0.046711,66,0,1.117953,"2500",12,0,1,0,"0","cluster0","n"
266,265,0.976532,32,0,0.264079,"6800",6,0,0,0,"2","cluster0","n"
267,266,0.007983,43,1,0.009691,"208333",11,0,1,0,"1","cluster0","n"
268,267,0.267541,59,0,0.637607,"5700",13,0,2,0,"1","cluster0","n"
269,268,0.019779,76,0,0.267149,"2900",9,0,0,0,"0","cluster0","n"
270,269,0.010402,68,0,0.094141,"3600",6,0,1,0,"0","cluster0","n"
271,270,1,61,0,0.529549,"1285",3,0,1,0,"0","cluster0","n"
272,271,0.029816,68,0,0.17514,"4464",12,0,1,0,"1","cluster0","n"
273,272,0.181714,57,0,0.130453,"11666",17,0,1,0,"1","cluster0","n"
274,273,0.051369,68,0,0.445277,"4668",10,0,1,0,"2","cluster0","n"
275,274,0.292645,57,0,0.205928,"26484",11,0,2,0,"3","cluster0","n"
276,275,0.220824,46,1,0.637749,"1705",5,0,0,0,"0","cluster0","y"
277,276,0.0081,69,0,0.389896,"8332",3,0,1,0,"0","cluster0","n"
278,277,0,44,0,0.326384,"6666",4,0,2,0,"1","cluster0","n"
279,278,0.0061,28,0,0.139429,"3750",8,0,0,0,"0","cluster0","n"
280,279,0.909539,53,1,0.595654,"7500",16,0,1,0,"1","cluster0","n"
281,280,0.941073,40,0,0.178184,"8855",9,0,1,0,"0","cluster0","n"
282,281,0.991667,36,1,0.554878,"5411",10,0,2,0,"1","cluster0","n"
283,282,0.691488,42,0,0.272722,"16250",11,0,1,0,"1","cluster0","n"
284,283,0.112855,64,0,0.307576,"2652",6,0,1,0,"0","cluster0","n"
285,284,0.260971,57,0,5439,"?",16,0,3,0,"?","cluster0","n"
286,285,0.048244,62,0,0.262879,"16615",11,0,1,0,"1","cluster0","n"
287,286,1,47,0,0.092163,"9493",2,2,0,1,"0","cluster0","n"
288,287,1,62,0,0,"5480",3,0,0,0,"0","cluster0","n"
289,288,0.074256,49,0,0.34793,"5000",11,0,2,0,"3","cluster0","n"
290,289,0.144878,66,0,0.284462,"8900",9,0,1,0,"0","cluster0","n"
291,290,0.191002,54,0,0.705628,"5081",10,0,2,0,"2","cluster0","n"
292,291,0.219383,56,1,942,"?",9,0,1,0,"1","cluster0","n"
293,292,0.679814,83,0,0.68959,"4216",6,0,2,0,"0","cluster0","n"
294,293,2340,45,0,0.339333,"8333",7,0,2,0,"2","cluster0","n"
295,294,0.371875,29,0,0.536289,"2300",9,0,1,0,"3","cluster0","n"
296,295,0.025856,67,0,0.083799,"13054",13,0,1,0,"0","cluster0","n"
297,296,0.547888,29,1,0.246515,"2725",5,0,0,1,"0","cluster0","n"
298,297,0.271669,46,1,0.28283,"15800",14,0,2,0,"4","cluster0","n"
299,298,0.085152,25,0,1005,"0",5,0,0,0,"0","cluster0","n"
300,299,0.897203,68,0,0.787803,"4000",8,0,2,0,"0","cluster0","n"
301,300,0.258898,33,0,0.537441,"4900",3,0,1,0,"1","cluster0","n"
302,301,0,55,1,0.039886,"5590",8,0,0,0,"0","cluster0","n"
303,302,0.035941,46,0,0.271186,"6666",10,0,1,0,"3","cluster0","n"
304,303,1,66,0,0.046634,"11600",2,0,0,0,"1","cluster0","n"
305,304,0.465239,66,0,0.391428,"3172",8,1,1,0,"0","cluster0","n"
306,305,0.865423,48,0,0.075848,"500",1,0,0,0,"0","cluster0","n"
307,306,0.696412,52,0,0.408872,"11000",11,0,1,0,"4","cluster0","n"
308,307,0.544498,32,1,0.166767,"6667",5,1,0,0,"0","cluster0","n"
309,308,0.081238,51,0,0.06683,"7750",14,0,0,0,"2","cluster0","n"
310,309,0.948763,27,0,0.144948,"4166",5,0,0,0,"0","cluster0","n"
311,310,0,32,2,0.463611,"7460",10,0,1,1,"0","cluster0","n"
312,311,0.016599,30,0,0.136576,"1500",5,0,0,0,"0","cluster0","n"
313,312,0.06333,37,0,0.329935,"6179",6,0,1,0,"3","cluster0","n"
314,313,0.093638,49,0,0.042837,"8333",10,0,0,0,"1","cluster0","n"
315,314,0,37,0,0.184027,"7900",5,0,1,0,"5","cluster0","n"
316,315,0.730272,36,1,0.632794,"5500",10,0,2,0,"0","cluster0","n"
317,316,0.426371,62,1,0.406054,"3666",15,0,1,0,"0","cluster0","n"
318,317,0.948978,57,0,0.043745,"8000",3,0,0,0,"1","cluster0","n"
319,318,0,59,0,0,"4200",7,0,0,0,"1","cluster0","n"
320,319,1.002647,38,2,0.472543,"3550",8,1,0,1,"4","cluster0","n"
321,320,0.016478,92,0,10,"?",3,0,0,0,"0","cluster0","n"
322,321,0.042607,58,0,3976,"?",13,0,3,0,"0","cluster0","n"
323,322,0.022891,37,0,0.288477,"6100",16,0,1,0,"0","cluster0","n"
324,323,0.283822,63,0,0.750201,"1244",9,0,0,0,"0","cluster0","n"
325,324,0.319779,32,0,1.24734,"12500",12,0,8,0,"0","cluster0","n"
326,325,0.155241,52,0,0.483518,"6946",15,0,2,0,"1","cluster0","n"
327,326,0.013115,43,0,4211,"0",21,0,2,0,"2","cluster0","n"
328,327,0.067259,29,1,0.168341,"2090",3,0,0,0,"0","cluster0","n"
329,328,0.284236,45,1,0.318891,"7500",9,0,1,0,"2","cluster0","n"
330,329,0.72756,38,0,0.712459,"2423",6,0,1,0,"1","cluster0","n"
331,330,0.687779,62,0,0.249471,"7090",15,0,0,0,"0","cluster0","n"
332,331,1,29,0,0,"?",0,0,0,0,"0","cluster0","n"
333,332,0.033709,41,0,0.408706,"6500",9,0,1,0,"2","cluster0","n"
334,333,0,29,0,0.193935,"3000",7,0,0,0,"0","cluster0","n"
335,334,0.037198,47,0,0.039758,"25000",11,0,1,0,"3","cluster0","y"
336,335,0,55,1,0.388321,"4400",4,0,2,0,"1","cluster0","n"
337,336,0.053589,87,0,0.001534,"5213",4,0,0,0,"0","cluster0","n"
338,337,0.100773,41,0,0.199762,"9230",7,0,1,0,"0","cluster0","n"
339,338,0,61,0,1.394967,"913",11,0,2,0,"0","cluster0","n"
340,339,0.399947,28,0,0.189703,"4000",6,0,0,0,"1","cluster0","n"
341,340,0.052653,43,0,0.572292,"1984",9,0,0,0,"4","cluster0","n"
