,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
48262,0,0.0,44,0,0.226309513,10900.0,4,0,1,0,2.0
64906,0,0.9999999,31,0,0.465905034,2800.0,3,0,2,0,2.0
49139,0,0.036884037,57,0,900.0,0.0,5,0,1,0,0.0
133539,0,0.173718464,42,0,0.791856026,5500.0,13,0,2,0,1.0
39917,1,0.012025344,31,0,886.0,,12,0,0,0,0.0
106032,1,0.793346774,46,2,0.509987934,7458.0,11,2,1,0,2.0
108695,0,0.215102792,33,1,0.162103433,2300.0,8,0,0,0,1.0
83042,0,0.23968704,40,0,0.667291471,3200.0,16,0,1,0,0.0
85710,0,0.9999999,79,0,1.0,,0,0,0,0,
135446,0,0.203416882,61,0,0.542323928,4500.0,9,0,2,0,0.0
59584,0,0.049231886,65,0,0.870762053,6429.0,4,0,2,0,0.0
24324,0,0.83517129,57,0,0.470398643,11789.0,17,0,3,0,3.0
5819,0,0.887186091,60,0,0.138653462,10500.0,7,0,0,0,0.0
138225,0,0.874742723,23,0,264.0,,2,0,0,0,0.0
123279,0,0.103459169,50,0,98.0,,5,0,0,0,0.0
51878,0,0.144350314,63,0,0.174277956,8101.0,12,0,0,0,0.0
105190,1,1.738768719,39,0,0.06682452,3800.0,4,2,0,1,1.0
8794,0,0.612672108,45,0,1012.0,,4,0,0,0,0.0
64801,0,0.9999999,30,1,0.123678949,3500.0,1,0,0,0,3.0
23071,0,0.037456089,69,0,1000.0,,15,0,1,0,0.0
76178,0,0.0,46,0,0.27992391,13667.0,10,0,2,0,4.0
67561,0,0.886254062,50,0,0.668472373,2768.0,7,0,1,0,0.0
145702,0,0.856311939,39,0,0.33561891,11083.0,10,0,1,0,1.0
22461,0,0.053178936,39,0,0.263573643,10000.0,10,0,2,0,0.0
113993,0,0.9999999,66,0,1203.0,,4,1,1,0,
45884,0,0.025353953,53,0,0.261653288,7100.0,14,0,1,0,0.0
40,0,0.304490668,52,0,0.808340474,3500.0,10,0,2,0,0.0
121382,1,0.125958014,30,0,0.159157558,3750.0,5,0,0,0,0.0
73304,0,1.004559804,27,2,0.424959656,1858.0,6,3,0,0,2.0
101958,0,0.036154478,72,0,0.350805753,11541.0,8,0,1,0,1.0
59065,0,0.252385841,60,0,0.709258148,5000.0,3,0,1,0,0.0
134081,0,0.088002456,48,0,2131.0,,9,0,1,0,0.0
81029,0,0.571668363,52,0,0.461634591,4000.0,9,0,0,0,2.0
31429,0,0.694392906,47,0,0.505164945,3000.0,12,0,0,0,0.0
111534,0,0.005367856,46,0,1132.0,,8,0,1,0,0.0
34852,0,0.9999999,54,1,3722.0,,4,0,3,0,3.0
79072,0,0.146027775,69,0,0.276489376,7200.0,13,0,1,0,0.0
114702,0,0.069338613,70,0,0.479226838,4500.0,5,0,2,0,0.0
46191,0,0.19579059,52,0,0.526820908,11669.0,13,0,4,0,2.0
68477,1,0.9999999,47,1,535.0,,7,7,0,0,0.0
28963,0,0.9999999,70,0,1021.0,0.0,5,0,1,0,0.0
75046,0,0.937306269,47,0,0.229874191,13750.0,4,0,3,0,2.0
6355,0,0.357201529,40,0,0.579960003,14500.0,9,0,2,0,2.0
27393,0,0.067076063,57,0,0.377663984,20504.0,11,0,5,0,1.0
93351,0,0.00923256,87,0,0.00231899,3880.0,9,0,0,0,0.0
17142,0,0.050949051,84,0,0.000166639,6000.0,2,0,0,0,0.0
25104,0,1.067350697,31,0,0.247996228,2120.0,4,0,1,1,1.0
95023,0,0.033827266,71,0,0.128490401,4583.0,5,0,0,0,1.0
13789,0,0.0,57,0,0.629122192,6276.0,11,0,2,0,1.0
43365,0,0.461703449,50,0,0.418657702,8328.0,15,0,2,0,0.0
68640,0,0.150253448,53,0,0.397194639,14400.0,26,0,2,0,2.0
58962,0,0.129996108,56,0,770.0,,3,0,1,0,
67156,0,0.008601486,43,0,0.003749063,4000.0,7,0,0,0,2.0
72938,0,0.098545073,67,0,62.0,,6,0,0,0,
34162,0,0.020186519,35,0,703.0,,4,0,0,0,0.0
21126,0,0.0,58,0,0.361177779,17082.0,19,0,7,0,0.0
42868,0,0.206089278,68,0,0.502622243,12965.0,12,0,2,0,2.0
20469,0,0.037825686,65,0,0.05068116,14166.0,17,0,0,0,0.0
579,0,0.697812691,31,0,0.236980252,12000.0,10,0,0,0,1.0
105716,0,0.938123752,32,0,0.630517024,792.0,3,0,0,0,1.0
95845,0,0.286930702,44,0,0.775499744,1950.0,13,0,0,0,1.0
14758,0,0.052537701,68,0,560.0,,2,0,0,0,0.0
54237,0,0.1227509,34,0,0.66874028,4500.0,7,0,2,0,0.0
82902,0,0.152856751,61,0,0.528505701,4998.0,8,0,2,0,0.0
13102,1,0.312162899,35,1,1.5337132,2105.0,11,0,1,0,2.0
86760,0,0.779647582,52,0,0.921781831,2850.0,8,0,1,0,0.0
110693,0,0.00145803,60,0,1226.0,,4,0,1,0,0.0
129610,0,0.031631305,63,0,36.0,,5,0,0,0,0.0
26878,0,0.36626098,48,0,0.477411144,11000.0,15,0,2,0,6.0
130174,0,0.036824777,43,0,0.762071993,6833.0,7,0,2,0,0.0
19377,0,0.141849225,33,0,0.361163884,10000.0,8,0,1,0,0.0
145005,0,0.452527285,62,0,0.34418221,15761.0,10,0,2,0,2.0
95443,0,0.834047415,56,2,0.333597842,6300.0,12,0,1,1,2.0
80690,0,0.068308231,73,0,0.64035964,1000.0,10,0,2,0,0.0
66739,0,0.110993063,65,0,0.252766298,7500.0,8,0,1,0,0.0
112813,0,0.0,30,0,183.0,,4,0,0,0,0.0
32388,0,0.037339676,54,0,4454.0,,14,0,2,0,0.0
142817,1,0.651049779,37,0,0.215900976,4200.0,6,0,0,0,0.0
13566,0,0.183429292,68,0,921.0,,10,0,1,0,0.0
15669,0,0.005080401,60,0,0.265190972,13823.0,12,0,2,0,0.0
90946,0,0.042064195,51,0,0.5,2173.0,6,0,1,0,3.0
81307,0,0.236076392,51,0,0.372122859,13250.0,8,0,3,0,0.0
6913,0,0.025211357,60,0,0.291513899,15000.0,12,0,2,0,0.0
39770,0,0.00580175,60,0,1.184845962,1200.0,8,0,2,0,0.0
46470,0,0.008203533,49,1,0.299009132,5146.0,15,0,2,0,1.0
124524,0,0.433919202,58,0,0.288847627,8616.0,4,0,1,0,2.0
15874,0,0.454177707,69,0,0.316264522,11189.0,10,0,1,0,1.0
77746,0,0.006967023,32,0,0.603184991,4583.0,6,0,2,0,0.0
117965,0,0.06039698,63,0,0.002666469,13500.0,1,0,0,0,1.0
11695,0,0.052206562,76,0,0.127464593,3600.0,5,0,0,0,1.0
87336,0,0.574183595,44,0,0.318739585,6600.0,6,0,1,0,2.0
15188,0,0.334850761,59,0,0.625841184,5200.0,18,0,2,0,1.0
73899,0,0.651657865,30,0,0.229272511,9250.0,9,0,0,0,0.0
127467,0,0.013515693,42,0,0.094501309,4200.0,13,0,0,0,2.0
25617,1,0.9999999,25,1,0.065524625,2334.0,0,0,0,0,0.0
43798,0,0.968659873,43,0,0.073398784,2138.0,12,0,0,0,2.0
107907,0,0.9999999,62,2,1076.0,,2,0,1,0,
61267,0,0.57327978,50,0,0.277907884,5123.0,11,0,0,0,0.0
28475,0,0.068325742,47,0,0.004319654,4166.0,7,0,0,0,2.0
21409,0,0.025891985,70,0,0.013496626,4000.0,12,0,0,0,1.0
74330,0,0.051676726,60,0,0.587378641,4943.0,5,0,1,0,1.0
118026,0,0.152001959,38,0,0.376144205,7100.0,18,0,1,0,1.0
41313,0,0.024637305,53,0,1.018392643,2500.0,12,0,3,0,0.0
42536,0,0.146661235,73,0,180.0,,11,0,0,0,0.0
68619,0,0.108656513,59,0,0.446168613,6250.0,13,0,2,0,1.0
92458,0,2120.0,56,2,0.723538231,3334.0,3,0,1,0,1.0
25076,0,0.01889116,62,0,0.638594365,3300.0,8,0,2,0,0.0
24906,0,0.00135126,65,0,0.258666667,11249.0,9,0,1,0,0.0
1191,0,0.0,48,0,0.31834083,2000.0,5,0,0,0,1.0
3919,0,0.060994917,28,1,21.0,,4,0,0,0,0.0
136769,0,0.153019697,55,0,0.187873913,19890.0,6,0,2,0,3.0
18329,0,0.020111606,63,1,2314.0,,10,0,2,1,0.0
68942,1,0.933491218,47,1,0.310504294,4540.0,6,0,1,2,3.0
21925,0,0.622438456,46,2,0.316007533,2654.0,9,0,0,0,0.0
101402,0,0.024281504,45,0,0.252504756,7884.0,12,0,2,0,0.0
51682,0,0.140059116,41,0,0.342406399,9000.0,15,0,2,0,1.0
56855,0,0.41185275,42,0,0.296585035,11800.0,9,0,2,0,2.0
129871,0,0.9999999,38,0,0.235739162,8326.0,5,0,1,0,2.0
79775,0,0.9999999,30,0,0.305609284,1033.0,0,0,0,0,0.0
70758,0,0.173111935,68,1,0.280099591,11245.0,11,0,2,0,1.0
71825,0,0.203854078,30,0,0.442119323,2245.0,4,0,0,0,0.0
36849,0,0.288186439,61,0,0.415999311,11612.0,8,0,1,0,1.0
90684,0,0.072287658,73,1,0.049191375,4451.0,12,0,0,0,0.0
10051,0,0.005689271,55,0,0.273654527,16666.0,16,0,4,0,0.0
116285,0,0.022943392,60,0,0.154781327,19000.0,16,0,1,0,0.0
100393,0,0.070682682,75,0,105.0,,10,0,0,0,0.0
109159,0,0.043506714,58,0,0.268875396,7575.0,5,0,1,0,4.0
60794,0,0.09498858,49,1,0.325156235,10720.0,12,0,2,0,2.0
49084,0,0.0,62,0,3436.0,,9,0,2,0,2.0
137334,0,0.923433549,60,0,874.0,,10,0,1,0,
34974,0,0.343274879,46,1,0.295584513,10666.0,13,0,1,0,2.0
115702,0,0.118171664,53,1,0.525975299,5100.0,12,0,1,0,2.0
47457,0,0.148920973,54,0,87.0,,3,0,0,0,0.0
133286,0,0.100438222,43,0,0.319107992,8833.0,3,0,1,0,2.0
62550,0,0.046224118,52,0,0.139815533,11600.0,11,0,2,0,0.0
127310,0,0.411273254,40,0,0.317621853,5600.0,9,0,1,0,0.0
78137,0,0.006709051,64,0,1837.0,,9,0,2,0,0.0
73545,0,0.086231111,43,0,0.46344207,2666.0,12,0,1,0,1.0
75556,0,0.904004571,40,0,0.455777921,7744.0,7,0,1,0,0.0
74967,0,0.9999999,40,1,0.060428177,2895.0,3,0,0,0,0.0
21606,0,1.092294784,50,0,0.303652359,3750.0,7,0,0,0,0.0
118788,0,0.086163405,70,0,747.0,,8,0,0,0,0.0
53864,0,0.042997134,46,0,0.182742386,24000.0,14,0,2,0,0.0
110030,0,0.267839026,84,0,0.272265805,6500.0,14,0,0,0,0.0
10226,0,0.791041792,33,0,0.202740233,5400.0,3,1,1,0,2.0
114549,0,0.101377426,62,0,0.274172583,10000.0,7,0,2,0,0.0
25691,0,0.173494897,86,0,0.04525585,3888.0,4,0,0,0,0.0
58945,0,0.0,52,0,0.338766438,5398.0,10,0,1,0,0.0
56928,0,0.783611714,53,0,0.229530755,7266.0,12,0,2,0,1.0
145971,0,0.066493351,69,0,0.004221284,4500.0,1,0,0,0,0.0
71278,1,0.561098466,50,1,0.066514806,13169.0,5,0,0,1,2.0
16887,0,0.36242505,22,0,0.011420414,1400.0,1,0,0,0,0.0
16102,1,0.776743229,50,0,0.795702874,10890.0,17,0,4,0,0.0
134919,1,0.9999999,34,1,0.272484417,2245.0,2,0,0,0,1.0
140501,0,0.009522221,69,0,17.0,,7,0,0,0,0.0
73341,0,0.060622696,60,0,2100.0,,7,0,2,0,0.0
107319,1,0.9999999,52,2,0.893759287,1345.0,2,1,1,3,1.0
21190,0,0.122410625,34,0,0.754998901,4550.0,10,0,2,0,0.0
48968,0,0.9999999,37,1,0.096531036,13000.0,3,0,1,0,3.0
75623,0,0.23359416,57,0,5775.0,,9,0,4,0,0.0
93764,0,0.023599799,74,0,0.029830847,12000.0,8,0,0,0,1.0
42101,0,0.031431898,62,0,30.0,,4,0,0,0,0.0
61943,0,0.292172707,62,0,3663.0,,12,0,2,0,2.0
29201,0,0.0,61,0,6556.0,,8,0,4,0,0.0
6104,0,0.069992554,44,0,2063.0,,4,0,1,0,2.0
75983,0,0.022218056,67,0,0.000934396,20333.0,4,0,0,0,2.0
105339,0,0.047632133,85,0,0.007665389,6000.0,4,0,0,0,0.0
89520,0,0.088461002,36,0,0.236788358,7833.0,9,0,2,0,3.0
13583,0,0.318326265,44,0,2687.0,,10,0,1,0,2.0
142480,0,0.012376424,55,0,4.0,,6,0,0,0,0.0
45967,0,0.455795064,25,0,0.353911522,4000.0,14,0,0,0,0.0
38237,0,0.0,38,0,1274.0,0.0,5,0,1,0,2.0
134765,0,0.328938555,30,0,0.435134492,4200.0,10,0,0,0,2.0
36598,0,0.006249805,48,1,0.183563287,5000.0,5,0,1,0,3.0
57375,0,0.631229236,40,0,0.004621072,1081.0,1,0,0,0,0.0
16584,0,0.011110494,63,0,0.214576698,13500.0,11,0,1,0,0.0
56539,0,0.332988053,54,2,0.363103172,3750.0,7,0,1,0,2.0
39552,0,0.015184443,75,0,321.0,,10,0,0,0,1.0
78710,0,0.400421046,36,1,1.072463768,2000.0,9,0,1,0,3.0
139513,0,0.340791201,52,1,0.652988403,1120.0,6,0,0,0,1.0
42406,0,0.80954813,70,0,0.474521142,8300.0,8,0,1,0,0.0
116686,0,0.24010132,46,0,0.234040075,8583.0,6,0,2,0,3.0
18417,0,0.22505531,57,0,0.48949194,4900.0,23,0,0,0,3.0
144562,0,0.03195895,65,0,0.00939812,5000.0,5,0,0,0,2.0
25284,0,0.204444634,59,0,0.488823529,6799.0,13,0,2,0,1.0
50121,1,0.861569215,40,0,0.200879472,5002.0,8,0,0,0,1.0
36541,0,0.113934462,41,0,6753.0,,8,0,1,0,0.0
94581,0,0.9999999,54,2,1185.0,,2,0,1,1,0.0
96513,0,0.167937521,37,0,0.793981909,5416.0,7,0,1,0,1.0
145575,0,0.009783071,40,0,0.321173954,8415.0,7,0,1,0,5.0
55934,0,0.950639532,58,0,0.255701451,7234.0,6,0,2,0,0.0
13874,0,0.204693575,72,0,0.489188308,9202.0,10,0,1,0,1.0
76624,0,0.418545432,56,0,0.479408237,2500.0,11,0,1,0,0.0
10773,0,0.385995145,58,0,1.248988336,4200.0,16,0,3,0,0.0
40930,0,0.083876003,41,0,0.089989158,8300.0,8,0,0,0,0.0
17597,0,0.166757934,52,0,0.596121417,8301.0,8,0,2,0,0.0
8190,0,0.093890084,48,1,3550.0,,7,0,2,0,0.0
114681,0,0.015756061,66,0,0.014985015,1000.0,9,0,0,0,0.0
117021,0,0.049396787,62,0,0.157344687,5166.0,5,0,1,1,0.0
33677,0,0.019841213,72,0,0.00063076,65000.0,20,0,0,0,0.0
45311,0,0.099000041,67,0,971.0,,5,0,1,0,0.0
104800,0,0.015330778,56,0,0.000259707,7700.0,2,0,0,0,0.0
41173,0,0.049534268,72,0,0.16452837,11067.0,19,0,1,0,1.0
149796,0,0.302689827,43,1,0.471151843,4800.0,12,0,2,1,1.0
33252,0,0.009168778,52,0,1482.0,,9,0,1,0,0.0
68904,0,0.227852959,39,2,0.028055244,90000.0,21,0,2,0,3.0
108456,0,0.00546312,86,0,0.250875657,6851.0,14,0,1,0,0.0
30475,0,0.053998412,41,0,0.36244898,6124.0,11,0,1,0,3.0
73893,0,0.012349691,90,0,0.002636038,5310.0,1,0,0,0,0.0
23018,0,0.18168532,63,0,0.347896816,4302.0,6,0,1,0,0.0
12412,0,0.02235181,60,0,0.046781287,2500.0,8,0,0,0,0.0
135480,0,0.000137922,29,0,0.212584534,3400.0,4,0,1,0,0.0
26370,0,0.489865413,40,0,0.650304083,6905.0,13,0,2,0,2.0
7520,0,0.045336925,45,0,0.195540148,10672.0,7,0,2,0,3.0
82474,1,0.801149959,74,1,4493.0,,14,0,1,0,0.0
81206,0,0.462522008,79,0,1356.0,,7,0,1,0,0.0
4381,0,0.9999999,68,0,0.0,4060.0,1,0,0,0,0.0
132446,0,0.942822871,42,0,0.108108108,4476.0,2,0,0,0,2.0
130076,0,0.0,58,0,1675.0,,6,0,1,0,1.0
101829,0,0.274030752,59,0,0.18576741,5915.0,9,0,0,0,1.0
88969,1,1.173469388,38,1,0.57677665,1575.0,5,6,0,3,0.0
88823,0,0.121295944,56,0,0.722713637,13000.0,14,0,2,0,0.0
17067,0,0.188469761,61,0,2314.0,,5,0,1,0,0.0
30819,0,0.019765504,37,1,0.235550709,2750.0,11,1,1,0,0.0
15512,0,0.121192845,40,0,0.300870096,6550.0,9,0,2,0,3.0
123479,0,0.602291245,60,2,1.275761368,2396.0,10,0,1,0,0.0
120567,0,0.941956288,36,0,0.242121278,4600.0,5,0,0,0,0.0
64568,0,0.680035199,55,0,5357.0,,13,0,3,0,0.0
64379,0,0.073604514,29,0,219.0,0.0,3,0,0,0,0.0
61645,0,0.300149897,65,0,0.732965009,14660.0,23,0,5,0,0.0
68236,0,0.156621084,45,0,1.419075925,3700.0,5,0,1,0,3.0
76655,0,0.059929338,44,0,3.46506986,500.0,3,0,1,0,2.0
17451,0,0.9999999,36,1,0.2669803,3400.0,2,1,0,0,0.0
43491,0,0.043619346,44,0,0.561348379,7000.0,9,0,2,0,2.0
74610,0,0.189790491,34,0,0.141362867,6500.0,5,0,0,0,2.0
120095,0,0.011124692,51,0,103.0,,5,0,0,0,0.0
133980,0,0.073985203,30,0,0.030351723,5600.0,2,0,0,0,0.0
127762,0,0.737145603,58,0,0.904009034,7083.0,13,0,2,0,0.0
140801,0,0.743796756,50,0,0.278476794,12000.0,8,0,2,0,0.0
102571,0,0.471237604,46,0,0.685451889,4790.0,13,0,1,0,1.0
76857,0,0.354066986,54,0,1.351829634,3333.0,16,0,1,0,1.0
74991,1,0.853305241,23,1,0.197125898,3200.0,5,1,0,1,0.0
37736,0,0.110599078,23,0,0.125860374,3050.0,3,0,0,0,0.0
25918,0,0.013235658,48,0,0.414170692,6209.0,7,0,1,0,2.0
4064,0,0.045946295,79,0,31.0,,2,0,0,0,
122748,0,0.030924647,65,0,0.003598561,2500.0,4,0,0,0,1.0
136331,0,0.09792749,49,0,0.322875366,5800.0,11,0,1,0,2.0
88679,0,0.142025736,66,0,0.375124975,5000.0,18,1,1,0,2.0
125316,0,0.050376035,57,0,35.0,,4,0,0,0,
4393,0,0.008227578,49,1,0.434946958,8200.0,11,0,3,0,2.0
9005,0,0.032393521,40,0,26.0,,1,0,0,1,1.0
28617,0,0.046665348,36,0,0.375017603,7100.0,3,0,1,0,3.0
145398,0,0.221242061,53,0,0.46686747,3983.0,9,0,1,0,2.0
5859,0,8.26e-05,40,0,0.245719285,8000.0,9,0,1,0,0.0
82030,0,0.142732158,25,0,0.933333333,764.0,5,0,0,0,0.0
122927,0,0.187289028,40,0,2096.0,,11,0,1,0,0.0
4336,0,0.013299668,77,0,0.011952191,1254.0,6,0,0,0,0.0
104884,0,0.063821871,64,0,0.525684654,6170.0,13,0,1,0,1.0
38519,0,0.763150155,78,3,0.429740047,5500.0,12,0,1,0,0.0
120356,0,0.123529331,70,0,0.431490604,5480.0,10,0,2,0,0.0
87776,0,0.026563175,52,0,1.235882059,2000.0,27,0,2,0,1.0
36676,0,0.047163053,70,2,0.413690646,17500.0,16,0,4,0,0.0
15126,0,0.066746617,35,0,0.402213038,7500.0,12,0,2,0,1.0
62821,0,0.542861138,33,2,0.287029729,3800.0,8,2,0,0,1.0
97906,0,0.079950632,63,0,0.285529158,6944.0,23,0,1,0,1.0
36485,0,0.905625167,40,4,0.651565623,1500.0,5,1,0,0,1.0
113170,0,0.606717088,42,0,0.316537298,7600.0,7,0,2,0,2.0
65830,0,0.933226709,26,0,0.010646388,6574.0,1,0,0,0,1.0
2837,0,0.9999999,59,1,0.162226878,6681.0,2,3,1,0,0.0
22534,0,0.0,36,0,0.277657787,8333.0,11,0,1,0,1.0
14835,0,0.03359916,53,0,0.015993603,2500.0,8,0,0,0,0.0
143641,0,0.567938129,66,1,3237.0,,16,0,1,0,2.0
94880,0,0.01292102,75,0,0.174975004,7000.0,10,0,1,0,1.0
88691,0,0.090242448,91,0,77.0,,4,0,0,0,0.0
115611,0,0.01976948,43,0,0.007610764,7357.0,16,0,0,0,0.0
125251,0,0.112368891,61,0,0.288571429,20999.0,14,0,2,0,1.0
43000,0,0.196089365,27,0,0.607998334,4800.0,10,0,2,0,0.0
129830,0,0.013133041,54,0,1783.0,,8,0,1,0,1.0
