X,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
17506,0,0.152337262,48,0,0.166840242,4800,16,0,0,0,0
87833,0,0.003144908,37,0,0.245638137,7278,4,0,2,0,0
123017,0,0.043134358,75,0,0.016701952,4250,10,0,0,0,1
128461,0,0.026554418,45,0,0.372630128,2900,19,0,0,0,0
82461,0,0.416436106,63,0,0.550293926,3061,28,0,0,0,0
44465,0,0,51,0,0.211875346,5422,6,0,0,0,0
70046,0,0,30,1,0.203243243,1849,2,0,0,0,0
54988,0,0.723276723,70,2,0.07290401,3291,2,1,0,0,0
29591,0,0.052147498,50,1,0.491637631,2869,6,0,1,0,1
32877,0,0.312092198,56,0,0.139406648,12875,19,0,1,0,0
12531,0,0.117152831,48,0,0.32490444,3400,13,0,1,0,2
32738,0,0.115224041,59,0,2526,0,21,0,2,0,0
10281,0,0.280343018,61,0,0.409288038,11067,20,0,2,0,0
100927,0,0.143949506,40,0,0.206682112,8200,11,0,1,0,1
58057,0,0.02054527,36,0,0.466885862,4257,6,0,2,0,1
46611,0,0.001564694,62,0,16,,4,0,0,0,
108345,0,0.093275488,46,0,3073,,10,0,2,0,0
37844,0,0.9999999,62,0,0.615454545,1099,2,0,0,0,0
85963,0,0.287561874,55,1,0.222428275,9166,5,0,1,0,1
72918,0,0.9999999,28,0,0,2600,2,0,0,0,2
82313,0,0,49,0,0.201263899,12500,10,0,1,0,2
95444,0,0.085465899,45,0,0.261961821,12100,11,0,2,0,1
137420,0,0.242894608,39,0,0.715169057,7600,11,0,3,0,0
147336,0,0.030292336,61,0,15,,5,0,0,0,0
43266,0,0.170317541,43,0,0.273072693,10000,10,0,2,0,0
59859,0,0.068118326,36,0,2.638361638,1000,7,0,1,0,0
105826,0,0.882839421,56,0,0.050312791,7512,6,0,0,0,0
61820,0,0.564290473,25,0,0.17140661,1300,2,0,0,1,0
115574,0,0.905858251,54,0,1024,,8,0,0,0,0
32961,0,0.085571111,53,0,113,,3,0,0,0,0
129641,0,0.018533769,61,0,2483,,15,0,1,0,0
28301,0,0.364487949,79,0,0.15880547,7165,4,0,1,0,0
127587,0,0.02612616,56,0,5013,,19,0,3,0,2
117454,0,0.024719011,51,0,0.007197121,2500,3,0,0,0,0
145621,0,0.001708636,90,0,1,,2,0,0,0,
139971,0,0.9999999,32,0,1.208758248,3333,14,0,2,0,1
133944,0,0.9999999,34,0,0,4167,0,1,0,0,1
53422,0,0.017964072,25,0,0,1600,1,1,0,0,0
40215,0,0.542585077,47,0,2.90699462,1300,17,0,1,0,1
32854,0,0,46,0,0,4433,1,0,0,0,0
68889,0,0.581847272,42,0,0.777444511,3333,4,0,3,0,0
96235,0,0.003646016,42,0,0.304849885,3030,10,0,1,0,0
64351,0,0.008199727,67,0,553,,2,0,1,0,0
92562,0,0.290535265,64,0,0.874557261,3387,16,0,1,0,1
56005,0,0.722134444,57,1,0.183542908,4532,4,0,1,0,1
10605,0,0.423498731,45,0,0.524967575,3083,12,0,0,0,0
81364,0,0,74,1,0,3833,5,0,0,0,0
56535,0,0,71,0,1785,,10,0,2,0,0
93917,0,0.89279838,48,5,1.024790084,2500,10,0,1,0,2
133977,0,0.229484886,68,0,1243,,4,0,1,0,0
139445,0,0,30,1,0.210591643,7250,11,0,1,0,2
137843,0,0.9999999,30,0,0.162524993,3500,2,0,0,0,2
45089,0,0.882235529,24,0,0.064676617,200,1,0,0,0,0
35860,0,0.024461978,50,0,0.193224799,6080,8,0,1,0,0
123601,0,0.01887849,31,0,0.003336511,2097,4,0,0,0,0
135785,1,0.754081973,36,0,0.732024073,3156,7,0,1,1,2
102851,0,0.030242229,44,0,0.226584326,6800,13,0,2,0,1
84515,0,0.323763138,29,0,0.395101664,2163,3,0,0,0,1
39894,0,0,46,0,0.162810781,22000,6,0,1,0,0
49146,0,0.014549273,70,0,0.420275906,3116,3,0,1,0,0
116262,0,0.089993479,33,1,0.061476282,4700,5,0,0,0,0
134251,0,0.948731287,54,0,0.191696029,10500,8,0,2,0,0
123990,0,0.326995262,77,0,1.143673236,3500,11,0,2,0,0
39683,0,0.005660164,94,0,4,,4,0,0,0,0
109095,0,0.383061694,53,0,0.568144499,7916,6,0,1,0,2
105449,0,0.013010944,81,0,21,,6,0,0,0,1
104646,0,0.742649249,32,0,0.455472734,5097,6,0,2,0,0
106170,0,0.617096519,60,0,0.108129972,7416,6,0,0,0,0
28499,0,0,41,0,0,,6,0,0,1,0
61879,0,0.209708208,26,0,0.234087997,2340,4,0,0,0,1
106496,0,0.399569459,54,0,0.315250151,9953,5,0,3,0,2
110673,0,0.691528534,39,0,0.571943406,14983,15,0,4,0,2
21143,0,0.584205148,49,1,0.476327806,4160,11,0,1,0,0
123545,0,0.000533319,50,0,0.325928458,8777,5,0,1,0,2
5579,0,0.937710356,42,0,2581,,4,0,1,1,1
99405,0,0.006073383,36,0,1826,0,12,0,1,0,0
46742,0,0.820211986,39,0,0.202656384,4667,2,0,1,0,0
7035,0,0.15011721,46,0,0.478686454,9500,10,0,1,0,5
3051,0,0.009607764,70,0,0.083436189,4050,9,0,0,0,1
61168,0,0.112962851,39,0,4053,,2,0,1,0,0
144700,0,0.015855343,72,0,0.003537917,6500,6,0,0,0,0
45580,0,0.119566138,64,0,0.24479057,4750,7,0,1,0,1
138398,0,0.345225737,61,0,0.277359327,4513,14,0,2,0,0
126810,0,0.040676107,45,0,6.812,249,8,0,2,0,0
107452,0,0.015753361,72,0,0.564596717,1400,6,0,1,0,0
137755,0,0.412467254,59,0,0.675945893,5100,4,0,1,0,0
99162,0,0.006901811,47,0,0.407932011,6000,7,1,1,0,1
146742,0,0.471713207,51,0,0.350607462,9300,6,0,2,0,2
70407,0,0.025883719,69,0,0.368762385,5550,16,0,1,0,1
38188,0,0.971054445,31,1,0.435564436,1000,3,0,0,0,0
134598,0,0.960577457,61,0,0.176126878,2395,8,0,0,0,1
30007,1,0.945346698,55,4,1.608956417,2500,17,0,1,6,1
9246,0,0.029724257,72,0,1.967140484,5416,13,0,7,0,1
43589,0,0.287227575,59,1,0.441855814,10000,24,0,1,0,1
11349,0,0.015432819,51,0,7793,,10,0,5,0,0
47401,0,0.9999999,49,1,0.038692262,3333,2,0,0,0,1
112770,1,0.774228577,35,0,0.453888162,13000,11,0,4,0,1
80203,0,0.9999999,53,0,1721,,2,2,1,0,0
8596,0,0.462686567,50,1,0.402127869,10150,6,0,2,0,2
22972,0,0.650584687,61,1,0.453024294,8067,13,0,1,0,0
55782,0,0.074919081,64,0,1816,,9,0,2,0,0
41916,0,0,46,0,0.342236823,7000,12,0,1,0,3
40973,0,0.45782134,40,1,0.558250927,6471,14,0,2,0,3
124606,1,0.9999999,37,0,0.302879671,5833,5,0,0,0,2
37001,0,0.634209221,55,0,0.44848638,23750,22,0,2,0,0
116664,0,0.511105244,45,1,0.387582135,10500,12,0,2,0,0
15269,0,0.053059592,58,0,2887,,4,0,1,0,
66433,0,0.066964435,30,0,0.429595067,6000,10,0,2,0,2
109717,1,0.578842315,47,0,1460,,2,0,1,0,0
128058,0,0.229410251,58,0,0.383795977,15958,24,0,2,0,0
104796,0,0.326248805,47,0,0.389861014,10000,15,0,2,0,0
73055,0,0.9999999,57,0,0.017366838,10306,2,0,0,0,0
88548,0,0.106487642,53,0,0.41656431,5698,5,0,2,0,0
10599,0,0.018644006,74,0,0.041281139,2809,3,0,0,0,0
55015,0,0.016721913,37,0,0.522729021,13000,16,0,10,0,1
88247,0,0.001548085,63,0,0.336533136,5416,9,0,2,0,0
97132,0,0.066461413,48,0,0.206128134,4666,4,0,1,0,1
101466,0,0.670582354,37,1,0.92575671,1750,8,0,1,0,2
13343,0,0.028257965,54,0,4637,,8,0,2,0,0
10555,0,0,64,0,901,,20,0,1,0,0
114499,0,0.453059825,47,0,0.173019173,4328,7,0,0,0,1
97874,0,1.004427939,30,0,0.17556719,2864,2,0,0,0,0
29693,0,0.233927327,66,0,1938,,13,1,2,0,0
121851,0,0.092678879,64,0,0.188578624,13500,8,0,3,0,2
116559,0,0.023199643,61,0,1.098828906,3500,16,0,3,0,1
43636,1,0.144294381,60,0,0.044836563,3456,3,0,0,1,0
123335,0,0.148035499,34,0,0.408197268,3000,8,0,1,0,0
139852,0,0.158418289,63,0,6189,,16,0,1,0,0
31613,0,1.082907439,53,0,0.466328167,3741,7,0,2,0,1
148066,0,0.02781651,91,0,58,,4,0,0,0,0
67967,0,0,51,0,0,2333,5,0,0,0,1
146098,0,0.174540788,65,0,0.613486492,4700,8,0,2,0,0
28389,0,0.168575905,45,1,0.941611678,5000,9,0,1,0,1
111828,0,0.235170172,33,0,0.863467581,3500,9,0,1,0,1
135730,0,0.242593035,56,0,0.28114214,12747,8,0,1,0,3
94736,0,0.279178192,56,1,0.387806097,2000,12,0,0,0,0
128417,0,0.311515754,63,0,0.078,12499,9,0,1,0,0
64658,0,0.046563162,65,1,0.770661467,6666,24,0,3,0,0
92396,0,0.036348441,57,0,1980,,16,0,2,0,1
13970,0,0.155857215,42,0,3046,,4,0,1,0,0
97973,0,0.225745654,48,0,7946,,27,0,6,0,0
61298,0,0.500937383,32,0,1698,,6,0,1,0,0
77636,0,0.3958336,56,1,0.322826397,10500,15,0,2,0,0
88745,0,0.014193947,77,0,0.157218001,1710,5,0,1,0,0
142497,0,0.063028192,71,0,0.009117551,3070,5,0,0,0,0
90637,0,0.120809489,57,0,0.217049033,8891,9,0,2,0,2
132592,0,0,23,0,0,898,2,0,0,0,0
102510,0,0.065846708,39,0,0.194417238,8167,4,0,1,0,4
42787,0,0.134308477,75,1,0.269367158,7331,12,1,1,0,1
80034,0,0.9999999,77,0,0.015245624,1770,2,0,0,0,0
28974,0,0.222352337,43,0,0.386775557,13958,9,0,1,0,0
27334,0,0.9999999,55,1,0.495262566,6226,8,1,2,1,1
46600,0,0.443088923,54,3,2299,,12,2,0,0,0
87914,0,0.0471503,39,0,0.306734663,6666,12,0,2,0,3
56611,0,0.001966601,79,0,2,,2,0,0,0,0
24612,0,0.485502899,26,0,0.194322271,2500,4,0,0,0,0
877,0,0.041411471,45,0,0.008456176,8750,3,0,0,0,3
1358,0,0.279441118,57,0,0.001332889,3000,1,0,0,0,1
27522,0,0.019705457,62,0,0.172182782,10000,10,0,1,0,1
29254,0,0.118384565,64,0,210,,4,0,0,0,0
50656,0,0.386669145,67,0,2230,,10,0,1,0,0
128433,0,0.524328185,35,3,0.092885752,5242,4,0,0,0,2
20616,0,0.375367045,43,0,0.481625741,5904,11,0,1,0,3
93502,0,0.9999999,42,1,0,,1,1,0,0,3
77608,0,0,25,0,0.053940944,4300,4,0,0,0,0
118638,0,0.014691459,72,0,75,0,13,0,0,0,0
124335,0,0.26248122,66,0,0.174150155,5500,9,0,0,0,0
97709,0,0.9999999,47,0,0.747313172,4000,5,0,3,0,0
26182,0,0.005123561,68,0,0.007075472,1695,9,0,0,0,0
46247,0,0.035701137,48,0,0.189292335,9170,11,0,2,0,0
79313,0,0.026195961,59,0,0.007833072,30000,9,0,1,0,0
139057,0,0.57973908,45,0,3009,,9,0,1,0,1
147813,0,0,39,0,0.221210306,8344,9,0,1,0,3
134827,0,0.63881531,71,0,2642,,9,0,1,0,0
59725,0,0.000999958,55,0,1594,,4,0,0,0,
43109,0,0.200842448,65,0,0.105649058,6000,4,0,0,0,1
33526,0,0.015399115,49,1,0.131313131,9800,5,0,2,0,4
122095,0,0.125239858,55,0,0.337732454,5000,13,0,1,0,0
21463,0,0.012144678,46,0,0.38442285,6791,10,0,2,0,1
118742,1,1.172757475,50,1,0.283358321,2000,4,0,0,0,0
52449,0,0.452339688,38,0,0.251572892,11125,9,0,2,0,2
120617,0,0,40,0,0.264258123,4400,9,0,1,0,0
51042,0,0.876412359,65,0,0.270764686,8800,12,0,2,0,0
84774,0,0.208405933,49,0,0.277551894,4672,7,0,0,0,1
110120,0,0.048880737,67,0,0.093181364,5000,15,0,0,0,1
86718,0,0.186233353,43,0,0.284203442,10400,18,0,2,0,2
83336,0,0.000709662,76,0,603,,6,0,1,0,0
54952,0,0.028769295,55,0,0.072871109,15547,4,0,1,0,1
60650,0,0.707567155,81,0,1440,,6,0,3,0,
59663,0,0.079033587,57,0,0.317165185,3710,9,0,2,0,3
127500,0,0.009549761,81,1,0.005275779,2084,6,0,0,0,0
8796,0,0.094851028,69,0,0.197281204,8900,11,0,0,0,0
25669,0,0.436702046,76,1,0.082855654,1918,4,0,0,0,0
115999,0,0.003998001,22,0,0,929,5,0,0,0,0
85263,0,0.34232034,55,1,0.573617588,6003,12,0,2,0,1
36952,0,0.113170405,57,0,0.182766745,8912,5,0,1,0,1
75697,0,0.258240467,46,0,0.208475218,18500,10,0,2,0,0
101417,0,0.003492909,36,0,2779,,9,0,2,0,0
80843,0,0,71,0,0.184508732,7500,10,0,1,0,0
80148,0,0.028371993,68,0,0.625395767,6000,4,0,2,0,0
12862,0,0.543091382,58,0,0.36141063,7882,11,0,2,0,0
54682,0,0.134196166,71,0,0.00447991,50000,3,0,1,0,0
75578,0,0.9999999,62,0,0.281817677,18000,7,0,2,0,0
96224,0,0.099791757,55,0,3139,,5,0,2,0,0
26454,0,0.201224847,70,0,0.066207801,6101,5,0,0,0,0
100634,0,1.56261343,57,1,68,,2,1,0,2,0
17582,0,0.042391674,71,0,1234,,10,0,1,0,0
138788,0,0.361365431,61,0,0.452995322,6626,11,0,1,0,3
126383,0,0.130545099,52,0,2910,,12,0,2,0,
32471,1,0.9999999,23,0,0.010747313,4000,0,1,0,0,0
43083,0,0.492743962,51,2,0.351968986,4900,7,1,1,0,0
325,0,0.319779462,32,0,1.247340213,12500,12,0,8,0,0
80494,0,0.573038815,42,0,0.210845198,3300,4,0,0,0,0
143843,0,0.842285805,30,0,0.490001481,6750,11,0,2,0,2
22366,0,0.450117804,57,1,1,2163,11,0,0,0,0
142059,0,0.009867237,69,0,0.087080934,28306,9,0,2,0,0
58004,0,0.658692866,42,0,0.346009975,6415,5,0,1,0,4
99620,0,0.944657955,24,0,680,0,4,0,1,0,0
8582,1,0.9999999,36,0,0.285578296,2100,2,0,0,0,0
146256,0,0.554802511,75,0,2.62962963,701,5,0,2,0,0
96240,0,0,35,0,0.382471815,4700,10,0,1,0,0
75975,0,0.027394521,41,1,0.328467153,10000,7,0,1,0,2
79074,0,0.010138654,62,0,0.51211903,4166,6,0,2,0,0
24991,0,0.312961169,61,0,0.313478041,11885,13,2,1,0,0
76197,1,0.307197212,49,0,1.254836795,8424,19,0,5,0,2
53778,0,0,58,0,0.288003528,6801,8,0,1,0,0
145217,0,0.372914193,61,0,0.530791789,3750,7,0,1,0,0
35488,0,0.01699915,63,0,0.05970483,4471,2,0,0,0,0
50371,0,0.409019244,39,1,0.352702998,9137,7,0,1,0,3
67866,0,0.01476463,58,0,0.092787628,15001,12,0,1,0,0
124929,0,0.068652335,71,0,0.189937107,4769,11,0,1,0,0
90081,0,0.050307509,65,0,108,,3,0,0,0,0
105456,0,0.469983748,52,1,0.439064156,12266,8,0,2,0,4
14143,0,0.132774265,52,0,0.291630111,11397,9,0,2,0,2
106373,0,0.211885946,71,0,0.221217027,10500,12,0,1,0,0
119459,0,0.013578471,77,0,0.000830126,13250,2,0,0,0,0
101990,0,0,51,3,0.246275464,6577,6,0,1,0,1
125484,0,0.031907671,67,0,345,,7,0,0,0,0
64219,0,0.496876947,56,0,0.251432278,9250,11,0,1,0,0
84251,0,0.100972179,37,0,0.649746193,6500,18,0,2,0,1
35280,0,0.9999999,65,0,104,,1,0,0,0,0
24800,0,0,58,0,0.167087188,3566,10,0,1,0,0
123286,0,0.600902273,50,1,0.597136349,3072,7,0,0,0,2
32638,0,0.040721775,27,0,0.300599867,4500,5,0,1,0,0
43011,0,0,69,0,0,,2,0,0,0,
81582,0,0.025003454,56,0,0.065337001,8723,14,0,0,0,2
72291,0,0.069832685,57,1,0.202960923,11617,13,0,2,0,3
33537,1,0.647576388,53,1,3957,,13,1,2,0,0
96483,0,0.909050511,34,0,0.250275938,3623,7,1,1,0,3
85684,0,0.837209302,47,0,0.29895502,2200,5,0,0,0,0
58692,0,0.053989295,48,0,0.402162824,4900,8,0,2,0,1
78305,0,0.131697165,57,0,2466,,7,0,1,0,0
48607,0,0.052170581,69,0,0.32185504,3600,14,0,2,0,0
60201,0,0,45,0,1.464580617,2300,11,0,2,0,2
19302,0,0.292352466,63,0,1529,,7,0,1,0,0
120299,0,0.020932775,70,0,1261,,8,0,1,0,0
36696,0,0,76,0,0,3596,2,0,0,0,0
62590,0,0.9999999,30,0,0,1100,0,0,0,0,0
120830,0,0.439576293,39,0,0.45800336,8333,10,0,2,0,0
19960,1,1.00419958,56,0,0.766327396,2357,6,1,1,0,0
4414,0,0.074577306,34,0,0.628124142,3640,8,0,2,0,0
132870,0,0.245491406,47,0,0.493096647,6083,11,0,2,0,2
26191,0,0.810384398,43,0,1.553089382,3333,14,0,2,0,0
131791,0,0.622244545,62,0,4019,,10,0,1,0,0
1416,0,0.029542412,82,0,0.018150601,4076,8,0,0,0,0
124028,0,0.223441087,54,0,0.675086833,3166,14,0,1,0,0
17729,0,0.090895455,50,0,0.006705576,8052,2,0,0,0,1
78704,1,0.079991112,53,4,1.767906718,1800,11,0,3,0,0
15640,0,0.173174873,40,0,0.034775049,4600,3,0,0,1,2
34292,0,0.040139197,54,0,1597,,10,0,1,0,0
53668,0,0.414149916,69,1,2.011785247,2290,10,0,2,0,0
106982,0,0.14645623,67,0,0.321488062,1800,3,0,0,0,0
129350,0,0.966338944,60,0,0.091004734,1900,1,0,0,0,0
57792,0,0.463304285,63,0,539,,4,0,0,0,0
52473,1,0.477751079,52,0,0.426661241,17200,10,0,2,0,1
75947,0,0.666523526,48,3,0.588465116,5374,10,0,2,1,3
1121,0,0.044225262,39,0,1776,,4,0,2,0,0
24311,0,0,76,0,0.189438605,3900,5,0,1,0,0
142060,0,0.9999999,82,0,0,,1,0,0,0,0
86365,0,0.005074356,60,0,13,,9,0,0,0,
82954,0,0.463538921,43,0,0.531346865,10000,12,0,2,0,2
39331,0,0.040579822,32,0,31,,6,0,0,0,
111743,0,0.367437844,48,1,3177,,11,0,1,0,0
6767,0,0.922362869,40,1,0.0569552,10200,6,0,0,0,2
126845,0,0.030348296,50,1,0.14307878,5800,12,0,0,0,0
141957,1,0.786366182,62,2,0.863017751,3379,8,0,2,0,0
27309,0,0.074201874,48,0,0.935136971,8833,27,0,3,0,3
124961,0,0.042817524,55,0,0.218889192,11000,8,0,2,0,1
110932,0,0.016975014,47,0,0.340101523,6500,14,0,1,1,1
99111,0,0.339826407,38,0,891,,8,0,0,0,1
102333,0,0,62,0,0.749204907,2200,14,0,1,0,0
13499,0,0.023097424,68,0,0.238944121,2916,11,0,0,0,0
96906,0,0.025206195,61,0,0.149022709,8850,9,0,1,0,0
122639,1,0.123268105,53,1,0.366530914,2700,7,2,1,2,2
12988,0,0.107683519,26,0,0.268292683,40,2,0,0,0,0
11565,0,0.001319947,50,0,0.59989567,7667,10,0,2,0,1
19246,0,0.095835454,65,0,0.357952273,7500,9,0,1,0,0
57715,0,0,39,0,0.253860601,9583,8,0,1,0,5
128319,0,0.82538839,64,0,0.639886578,7405,14,0,2,0,0
119846,1,0.080657705,64,0,0.394800743,7000,5,0,2,0,0
78864,0,0.703330637,54,0,0.314964487,4082,6,0,1,0,1
148426,0,0.057231227,59,0,0.376905774,4000,6,0,1,0,2
117015,0,0.363512853,51,0,0.340212793,7800,5,0,2,0,2
109941,0,0.144308159,50,1,0.365760209,10700,14,0,2,0,2
122078,0,0.9999999,39,0,0.472015731,20850,4,0,3,0,0
127541,0,0.463153685,28,0,0.28987222,4225,5,0,0,0,0
39657,1,0.52505311,47,3,0.723055389,5000,14,0,1,0,4
103207,1,0.877900241,50,0,0.230450609,15933,9,0,1,0,5
62070,0,0.173965207,33,0,0.822483841,4331,7,0,3,0,0
55983,0,0.480083512,58,0,0.379594237,3400,5,0,1,0,0
60690,0,0.19649219,61,0,0.262934266,4000,12,0,0,0,0
91558,0,0.100980296,57,0,3055,,11,0,3,0,0
89362,0,0.534900495,37,0,0.633517495,3800,10,0,2,0,1
46045,0,0.200792091,52,1,0.329072649,7666,22,0,1,0,2
125628,0,0.32404361,29,0,0.377081945,1500,7,0,0,0,0
35339,0,0.478217472,53,0,0.31364095,10900,9,0,2,0,1
49411,0,0.731053789,35,1,0.499102794,3900,5,0,1,0,3
80481,0,0.9999999,43,1,2097,,7,0,1,0,0
39820,0,0.98920072,55,0,0.822496263,2675,5,0,1,0,0
129390,0,0,62,0,0.06485464,83000,10,0,4,0,0
80024,0,0.964505916,40,0,0.706806283,4583,8,0,2,0,0
1129,0,0.428382755,36,0,0.2706115,6573,12,0,1,0,0
85249,0,0,37,0,0,1863,1,0,0,0,2
121404,1,0.417394064,32,3,0.171027552,5770,7,3,0,3,1
66114,0,0.9999999,24,0,12,1,2,0,0,0,0
76392,0,219,58,0,0.050676538,7833,2,0,0,0,1
120430,0,0.116809725,50,1,0.193410151,10500,15,0,3,0,0
87652,0,0.419527326,36,0,2.82596291,700,8,0,1,0,0
84861,0,0.699512379,41,0,0.310892941,6416,8,0,0,0,2
24638,0,0.477844652,40,0,0.010829984,53000,6,0,0,0,0
62481,0,1.037740565,53,2,0.118960347,3000,8,0,0,0,0
129260,0,0.081241975,46,0,0.379889609,8333,10,0,2,0,1
5692,0,0.181148361,36,2,0.37139228,14170,7,0,2,0,2
47863,0,0.537358912,41,0,0.248712511,3300,7,0,1,0,0
89498,0,4724,37,0,0.376448444,17000,3,0,2,0,0
120413,0,0.101798728,65,0,0.235903066,12750,10,0,2,0,1
34968,0,0.018483821,54,0,0.010395842,2500,4,0,0,0,0
64401,0,0.423337856,38,5,0.822792545,3272,18,0,2,0,1
124472,0,0.125047683,51,0,0.19968002,16250,8,0,2,0,4
71857,0,0.9999999,40,0,0.231244484,3398,8,0,0,0,1
118018,0,0.002654497,80,0,0.183567261,6340,10,0,0,0,1
16968,0,0,54,0,2800,,10,0,2,0,0
89689,0,0.12594074,50,0,0.562491073,7000,4,0,2,0,1
41021,0,0.050725897,58,0,0.18715524,10151,6,0,2,0,2
51911,0,0.186331364,39,0,0.903287829,5200,20,0,3,0,1
22172,0,0.153076938,35,0,0.261859793,9000,8,0,1,0,0
105930,0,0.81414291,25,1,0.155046826,960,7,0,0,0,0
130569,0,0.006463731,38,0,0.483432455,2353,7,0,1,0,2
129780,0,0.107133054,57,0,0.580204778,5273,7,0,2,0,4
105981,0,0.898013598,75,1,0.664296823,4500,4,0,1,0,1
65055,0,0.373339588,49,0,0.266375546,10075,14,0,1,0,2
82128,0,0.33350046,42,0,0.372078061,4662,6,0,2,0,5
149970,0,0.075535252,43,0,0.197537582,14700,10,0,3,0,2
105424,0,0.095003699,47,0,0.118270079,6797,15,0,0,0,3
2675,0,0.089290836,64,0,0.277920594,3500,14,0,1,0,0
41640,0,0.223856682,84,0,0.101633656,6916,10,0,0,0,0
62335,1,0.9999999,51,1,0,6179,2,0,0,1,0
122390,0,0.000863543,53,0,0.359867152,9333,15,0,2,0,1
20315,0,0.071181679,71,0,0.288684336,6300,11,0,1,0,0
49090,0,0.574799232,53,0,0.375749921,9500,6,0,2,0,2
98206,1,1.100316356,66,1,3.50329934,1666,12,0,0,0,1
146653,0,0.463465981,47,0,0.451939741,7500,9,0,2,0,2
64426,0,0.432983597,52,0,2227,,4,0,1,0,1
61697,0,0.532875163,70,0,0.573330613,19602,15,0,4,0,0
51634,0,0.12976828,51,0,0.1005996,1500,14,0,0,0,3
66998,0,0.135637005,61,0,0.103494825,20000,9,0,1,0,0
31677,0,0.251358288,61,0,0.290886392,800,7,0,0,0,1
27286,0,0.270227602,58,0,133,,7,0,0,0,0
143693,0,0.9999999,39,0,0.034627871,8316,1,1,0,0,2
112084,0,0.161428311,37,0,0.425396494,9583,11,0,2,0,1
13114,0,0.093393774,36,0,0.323895028,5791,10,0,1,0,0
127927,0,0.082210326,70,0,0.17422031,6508,5,0,1,0,0
76202,1,1.011100754,42,2,0.19550125,3600,6,0,0,0,1
77665,0,0.349659153,54,0,0.197951697,13083,6,0,1,0,1
46471,0,0.490397941,31,3,0.076560491,7000,9,1,0,3,0
13666,0,0.084343921,40,0,0.620941892,12166,10,0,5,0,3
