"X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
7239,0,0.074629133,73,0,43,NA,5,0,0,1,0
39860,0,0.25054989,53,0,43,NA,3,0,0,0,0
55588,0,0.9999999,72,0,43,NA,0,0,0,0,NA
119018,0,0.13298791,53,0,43,NA,2,0,0,0,0
92640,0,0,28,0,43,NA,1,0,0,0,NA
41521,0,0.002029923,60,0,43,NA,9,0,0,0,0
101887,1,0.9999999,54,0,43,NA,0,3,0,0,0
100183,0,0,56,0,42.66336634,100,16,0,3,0,1
122659,0,0,64,0,42,NA,5,0,0,0,0
77471,1,0.283543291,25,0,42,NA,3,0,0,0,NA
97026,0,0.035424114,78,0,42,NA,11,0,0,0,0
136718,0,0.114871383,80,0,42,NA,2,0,0,0,NA
93346,0,0.028359433,54,0,42,NA,4,0,0,0,0
46235,0,0.068435351,72,0,42,NA,3,0,0,0,0
14593,0,0.008749635,60,0,42,NA,2,0,0,0,0
148183,0,0.020268265,60,0,42,0,12,0,0,0,1
65467,0,0.048325996,81,0,42,NA,4,0,0,0,NA
34767,0,0.07179641,90,0,42,NA,6,0,0,0,0
41843,0,0.340633183,34,0,42,NA,1,0,0,0,0
9497,0,0.059250653,73,0,42,NA,2,0,0,0,0
86461,1,0.658843981,61,0,42,NA,6,1,0,0,0
18051,0,0.9999999,60,0,42,NA,0,1,0,0,0
89187,0,0.037998973,81,0,42,NA,15,0,0,0,NA
15568,0,0.815789474,56,0,42,NA,2,1,0,0,0
139336,0,0.9999999,64,0,42,NA,1,0,0,0,0
127699,0,0.042902433,66,0,42,NA,6,0,0,0,0
59897,0,0.050563584,65,1,42,NA,5,0,0,0,0
83716,0,0.9999999,73,0,42,NA,4,0,0,0,NA
76716,0,0.055678767,31,0,42,NA,5,0,0,0,NA
91045,0,0.042251893,80,0,42,NA,1,0,0,0,0
36834,0,0.023977338,68,0,42,1,7,0,0,0,0
80643,0,0.00121484,63,0,42,NA,5,0,0,0,NA
108679,0,0.036995324,43,0,42,NA,3,0,0,0,0
116286,0,0.031225135,80,0,42,0,3,0,0,0,0
108139,0,0.008945444,51,0,41,NA,12,0,0,0,0
131036,0,0.051035147,67,0,41,0,6,0,0,0,0
135326,0,0.012749545,58,0,41,NA,4,0,0,0,0
94998,0,0.022655638,72,0,41,NA,5,0,0,0,0
128721,0,0.279744051,24,0,41,NA,2,0,0,0,NA
145042,0,0.101610176,46,0,41,NA,2,0,0,0,0
35067,1,0.9999999,55,0,41,NA,0,0,0,0,1
62163,0,0.03940942,86,1,41,NA,6,0,0,0,0
70272,0,0.045268404,55,0,41,NA,4,0,0,0,NA
139665,0,0.307042879,30,0,41,NA,2,0,0,0,1
8638,0,0.062315349,46,0,41,NA,4,0,0,0,0
100080,0,0.087119555,71,0,41,NA,5,0,0,0,0
147239,0,0,56,0,41,NA,5,0,0,0,0
100281,0,0.9999999,24,0,41,NA,0,3,0,0,0
55702,0,0.05027992,81,0,41,NA,3,0,0,0,0
148959,0,0.060256023,65,0,41,NA,3,0,0,0,2
105899,0,0,52,0,41,NA,3,0,0,0,2
121299,0,0.019971225,88,0,41,NA,5,0,0,0,0
33770,0,1.812967581,23,0,41,NA,0,2,0,0,0
132744,0,0.277144571,48,0,41,0,1,0,0,0,0
45239,0,0.019473239,92,0,41,NA,10,0,0,0,0
77310,0,0.017011988,86,0,41,NA,7,0,0,0,NA
116918,0,0.05728928,72,0,41,NA,2,0,0,0,0
69545,0,0.002177463,77,0,41,NA,6,0,0,0,0
21364,0,0.9999999,30,0,41,NA,3,1,0,0,1
78229,0,0.107913105,79,0,41,NA,6,0,0,0,0
47605,0,0.047512272,82,0,41,NA,5,0,0,0,0
25569,0,0.056804845,73,0,41,NA,6,0,0,0,0
143130,0,0.01322344,64,0,41,NA,15,0,0,0,0
106012,0,0.002711375,78,0,41,NA,4,0,0,0,NA
113223,0,0.135869032,60,0,41,NA,3,0,0,0,0
34598,0,0.105222675,27,0,41,0,3,0,0,0,0
19867,0,0.001337537,73,0,41,NA,5,0,0,0,0
57099,0,0.571821623,43,0,40.52475248,100,11,1,1,0,2
90167,0,0.092801863,85,1,40,NA,4,0,0,0,0
113502,0,0.01207863,62,0,40,NA,4,0,0,0,0
104221,0,0.018396572,74,0,40,NA,4,0,0,0,NA
143752,0,0.080171755,40,0,40,NA,3,0,0,0,0
108522,0,0.015268146,61,0,40,NA,5,0,0,0,0
98210,0,0.036152816,90,1,40,NA,4,0,0,0,NA
114384,0,0.061568497,50,0,40,NA,7,0,0,0,0
148445,0,0.522674865,23,0,40,NA,1,0,0,0,0
71562,0,0.171728534,24,0,40,NA,2,0,0,0,0
1935,0,0.242501363,27,0,40,NA,1,0,0,0,NA
97061,0,0.005962352,72,0,40,NA,7,0,0,0,0
111059,0,0.02298295,87,0,40,NA,4,0,0,0,0
50126,0,0.035041266,68,0,40,NA,4,0,0,0,NA
127143,0,0.021454776,63,0,40,NA,5,0,0,0,NA
4068,0,0.031927811,88,0,40,NA,2,0,0,0,0
47170,0,0.156922715,69,0,40,NA,1,0,0,0,0
144008,1,0.894736842,30,2,40,NA,3,0,0,0,0
8969,0,0,90,0,40,NA,10,0,0,0,0
119188,1,0.236771519,26,0,40,NA,1,0,0,1,0
82705,0,0,71,0,40,NA,2,0,0,0,NA
106883,0,0.070996263,47,0,40,NA,4,0,0,0,0
110724,1,0.9999999,29,0,40,NA,4,6,0,0,0
18555,0,0.044898503,85,0,40,NA,3,0,0,0,0
106146,0,0.026457832,75,0,40,NA,5,0,0,0,0
125895,0,0.25134973,31,0,40,NA,4,0,0,0,0
33824,0,0.9999999,24,0,39.5,1,0,0,0,0,0
102142,0,0.018280515,91,0,39,0,7,0,0,0,0
25273,0,0.054622724,64,0,39,NA,6,0,0,0,0
41366,0,0.042988971,55,0,39,NA,4,0,0,0,0
72738,0,0.265746851,76,0,39,NA,2,0,0,0,0
12936,0,0.035788397,89,0,39,0,6,0,0,0,0
78822,0,0.023504009,81,0,39,NA,8,0,0,0,0
94264,0,0.08143241,47,0,39,0,2,0,0,0,0
132743,0,0.004514673,84,0,39,NA,12,0,0,0,0
119159,0,0,67,0,39,NA,6,0,0,0,0
117462,0,0.02166405,76,0,39,NA,11,0,0,0,NA
41805,0,0.08819412,54,0,39,NA,1,0,0,0,0
131341,0,0.058041865,82,0,39,NA,5,0,0,0,NA
96758,0,0.021083801,63,0,39,NA,5,0,0,0,1
18656,0,0,56,0,39,NA,6,0,0,0,0
7434,0,0.063377934,85,0,39,NA,4,0,0,0,NA
77838,0,0.0304084,90,0,39,NA,4,0,0,0,0
39457,0,0.044265191,79,0,39,NA,2,0,0,0,1
44281,0,0.028062567,32,0,39,0,5,0,0,0,0
87766,0,0.053157874,84,0,39,NA,4,0,0,0,0
97385,0,0.027936254,46,0,39,NA,3,0,0,0,0
33785,0,0,22,0,39,NA,3,0,0,0,0
36355,0,0.035570412,68,0,39,NA,6,0,0,0,0
51370,0,0.022417774,64,0,39,0,4,0,0,0,0
74593,0,0.046128429,62,0,39,NA,2,0,0,0,0
79078,0,0.027382812,93,0,39,NA,6,0,0,0,0
144641,0,0.028036993,87,0,39,NA,3,0,0,0,0
109216,0,0.013669585,82,0,39,NA,8,0,0,0,0
68045,0,0.050767278,66,0,39,NA,4,0,0,0,0
59950,0,0.01845986,43,0,39,NA,6,0,0,0,0
89357,0,0.15009769,47,0,39,0,1,0,0,0,1
96900,0,0.00447991,74,0,38.20113314,6000,6,0,0,0,0
137266,0,0.062016249,84,0,38,NA,6,0,0,0,0
136053,0,0.038410635,83,0,38,NA,5,0,0,0,NA
78936,0,0.050899965,62,0,38,NA,2,0,0,0,0
136867,0,0.018058407,75,0,38,NA,3,0,0,0,0
116844,0,0.038056868,66,0,38,NA,7,0,0,0,0
5703,0,0,78,0,38,NA,3,0,0,0,0
129101,0,0,78,0,38,NA,2,0,0,0,1
63860,0,1.287712288,76,0,38,NA,2,0,0,0,NA
17218,0,0,76,0,38,NA,7,0,0,0,NA
40274,0,0.016435151,63,0,38,NA,4,0,0,0,0
87528,0,0,76,0,38,NA,6,0,0,0,NA
109598,0,0.76602831,75,1,38,NA,5,0,0,1,0
63158,0,0.029240419,78,0,38,NA,7,0,0,0,NA
55661,0,0.9999999,62,0,38,NA,5,0,0,0,0
92621,0,0.033194484,82,0,38,NA,7,0,0,0,0
102219,0,0.014231887,91,0,38,NA,6,0,0,0,0
110005,0,0.03569881,77,0,38,0,5,0,0,0,0
100817,0,0.038148115,69,0,38,NA,5,0,0,0,0
13002,0,0.023472301,57,0,38,NA,6,0,0,0,0
52352,0,0.9999999,23,0,38,NA,0,0,0,0,0
65291,0,0,88,0,38,NA,1,0,0,0,0
54810,1,0.934383202,42,0,38,NA,2,1,0,0,0
30207,0,0.860093271,30,0,38,0,3,0,0,0,2
72502,0,0.06439678,67,0,38,NA,5,0,0,0,0
6166,0,0.223469567,62,0,38,NA,4,0,0,0,0
131593,0,0.02808896,70,0,38,NA,4,0,0,0,NA
83847,0,0.019984368,83,0,38,NA,12,0,0,0,0
73650,0,0.038616511,82,0,38,NA,4,0,0,0,0
61469,0,0.024551781,50,0,38,NA,5,0,0,0,3
38308,0,0.9999999,78,0,38,NA,2,0,0,0,NA
55336,0,0,84,0,38,NA,2,0,0,0,NA
123298,0,0.042965234,68,0,38,NA,3,0,0,0,0
91948,0,0.161541074,68,0,37.82370047,2750,8,0,4,0,0
1718,0,0.0445764,61,0,37.5,1,4,0,0,0,0
103097,0,0.015299235,69,0,37,NA,5,0,0,0,0
8705,1,0.9999999,37,0,37,NA,1,0,0,0,0
35890,0,0.043320434,67,0,37,NA,6,0,0,0,0
125532,0,0.030360714,63,0,37,NA,6,0,0,0,NA
7825,0,0.050505051,49,0,37,NA,5,0,0,0,0
96671,0,0.026044548,75,0,37,NA,11,0,0,0,0
135667,0,0.02105847,72,0,37,NA,8,0,0,0,0
108782,0,0.031374609,64,0,37,NA,5,0,0,0,0
91915,0,0.00939953,68,0,37,NA,2,0,0,0,0
92888,0,0.908636688,49,0,37,NA,4,0,0,0,0
25134,0,0.017760313,81,0,37,NA,7,0,0,0,0
112747,0,0.017654749,71,0,37,NA,3,0,0,0,0
113644,0,0.0154786,63,0,37,NA,5,0,0,0,0
31097,0,0.043080555,63,0,37,NA,3,0,0,0,NA
95411,0,0.162301638,84,0,37,NA,2,0,0,0,0
23703,0,0.030023095,76,0,37,NA,3,0,0,0,0
133078,0,0.030774399,67,0,37,NA,7,0,0,0,0
111464,0,0.052602832,67,0,37,NA,4,0,0,0,0
9647,0,0.057406482,84,0,37,NA,2,0,0,0,0
113366,0,0.020971571,65,0,37,NA,8,0,0,0,0
95863,0,0.015267625,34,0,37,NA,14,0,0,0,0
144547,0,0.022016718,65,0,37,NA,3,0,0,0,0
108623,0,0.030438282,84,0,37,NA,2,0,0,0,0
69056,0,0,63,0,37,NA,2,0,0,0,0
139441,0,0.123696615,67,0,37,NA,2,0,0,0,0
137126,0,0.032039495,37,0,37,NA,4,0,0,0,0
73920,0,949,73,0,37,NA,8,0,0,0,0
82388,0,0.086521769,69,0,37,NA,6,0,0,0,0
116370,0,0.041331956,81,0,37,NA,2,0,0,0,NA
71096,0,0.016393865,62,0,37,NA,4,0,0,0,0
129461,1,0.9999999,58,0,37,NA,0,1,0,0,0
138975,0,0.027325493,64,0,37,0,7,0,0,0,0
54693,0,0.098404889,34,0,37,NA,1,0,0,0,0
102364,0,0.005365104,62,0,37,NA,9,0,0,0,0
67979,0,0.019120579,73,0,37,NA,6,0,0,0,0
64730,0,0.037998831,79,0,37,NA,4,0,0,0,1
2959,0,0.007047052,68,0,37,NA,17,0,0,0,NA
27531,0,0.017782537,65,0,37,NA,7,0,0,0,0
10059,0,0.022761471,76,0,37,NA,7,0,0,0,0
19435,0,0.056315622,73,0,37,NA,3,0,0,0,NA
99584,0,0.020653056,65,0,37,NA,14,0,0,0,0
140766,0,0.203901,65,0,37,NA,2,0,0,0,0
79832,0,0.031424214,75,0,37,NA,6,0,0,0,0
82811,1,0.9999999,28,0,36,NA,1,0,0,1,1
33262,0,0.028705207,63,0,36,NA,4,0,0,0,0
9646,0,0.073429311,73,0,36,NA,3,0,0,0,0
141510,1,0.9999999,66,3,36,NA,4,0,0,0,0
70483,0,0.045590882,72,0,36,NA,8,0,0,0,0
30179,0,0.011693639,70,0,36,NA,16,0,0,0,0
113167,0,0.022789059,69,0,36,NA,6,0,0,0,0
103468,0,0.123187681,67,0,36,NA,1,0,0,0,NA
2187,0,0.032336822,72,0,36,NA,4,0,0,0,NA
25916,0,0.00620318,72,0,36,NA,5,0,0,0,0
70176,0,0.036606053,65,0,36,NA,2,0,0,0,0
13979,0,0.788770053,27,0,36,NA,4,0,0,0,0
54757,0,0.00129987,85,0,36,NA,1,0,0,0,0
99456,0,0.043426027,63,0,36,NA,5,0,0,0,0
77125,0,0.060646968,73,0,36,NA,1,0,0,0,NA
20279,1,0.012240112,74,7,36,NA,17,0,0,0,0
23986,0,0.047123037,78,0,36,NA,4,0,0,0,0
129864,1,0.9999999,29,98,36,NA,0,98,0,98,0
141031,0,0.058241061,88,0,36,NA,3,0,0,0,NA
110848,0,0.008671267,78,0,36,NA,10,0,0,0,0
137405,0,0.040447046,69,0,36,NA,2,0,0,0,NA
102004,0,0.120085429,35,0,36,NA,3,0,0,0,0
6113,0,0.072912327,75,0,36,NA,3,0,0,0,NA
78698,0,0.039514854,63,0,36,NA,2,0,0,0,0
145258,0,0.017001174,66,0,36,NA,7,0,0,0,0
34632,1,0.9999999,52,1,36,NA,5,0,0,0,NA
140986,0,0.026336487,71,0,36,0,8,0,0,0,0
48142,0,0.002704417,59,0,36,NA,6,0,0,0,0
38203,0,0.9999999,30,0,36,NA,1,1,0,0,0
7696,1,0,64,0,36,NA,1,1,0,1,0
104327,0,0.011392245,74,0,36,0,4,0,0,0,0
52533,0,0.056497432,58,0,36,NA,5,0,0,0,NA
121206,0,0.00436177,87,0,36,NA,15,0,0,0,0
143860,0,0.035998925,49,0,36,NA,3,0,0,0,2
43839,1,0.9999999,39,0,36,NA,0,3,0,0,0
75193,0,0.122187781,78,0,36,NA,4,0,0,0,0
86971,0,0.038110275,90,0,36,NA,7,0,0,0,NA
27273,0,0.038697184,81,0,36,NA,3,0,0,0,0
124815,0,0,74,0,36,NA,17,0,0,0,0
59910,1,0.698978397,48,0,35.44078216,13500,11,0,0,0,1
104496,0,0.029727973,57,0,35,NA,6,0,0,0,NA
117393,0,0.017849108,68,0,35,0,1,0,0,0,0
51886,0,0.01615029,88,0,35,NA,12,0,0,0,NA
56295,0,0,83,0,35,NA,3,0,0,0,0
125762,0,0.021985028,59,0,35,0,2,0,0,0,0
28083,0,0.053935667,41,0,35,NA,3,0,0,0,0
65448,0,0.096221621,77,0,35,0,2,0,0,0,0
43459,0,0.034143938,88,0,35,NA,2,0,0,0,NA
99348,0,0.021283521,81,0,35,NA,8,0,0,0,0
145238,0,0.017443685,36,0,35,NA,11,0,0,0,0
141707,0,0.07024561,62,0,35,NA,8,0,0,0,0
3787,0,0.017499702,81,0,35,NA,10,0,0,0,NA
38140,0,0.9999999,74,0,35,0,2,0,0,0,0
98424,0,0,24,0,35,0,3,0,0,0,0
94212,0,0.054366343,29,0,35,NA,5,0,0,0,0
144885,0,0.01333899,60,0,35,NA,18,0,0,0,0
89573,0,0.015591475,80,0,35,0,12,0,0,0,0
21169,0,0.023018788,75,0,35,NA,2,0,0,0,0
19954,0,0.03347483,59,0,35,NA,2,0,0,0,0
87662,0,0.0318724,61,0,35,NA,7,0,0,0,NA
112545,0,0.023230259,82,0,35,NA,6,0,0,0,0
23851,0,0,67,0,35,NA,2,0,0,0,0
4647,0,0.042068699,77,0,35,NA,2,0,0,0,0
6100,0,0.030867609,83,0,35,NA,5,0,0,0,0
27147,0,0.049149104,69,0,35,NA,6,0,0,0,0
14602,0,0.9999999,75,0,35,NA,3,0,0,0,0
125546,0,0,69,0,35,NA,6,0,0,0,0
141069,0,0.044111543,46,0,35,NA,4,0,0,0,NA
83181,0,0.774086379,47,0,35,NA,1,0,0,0,0
114331,0,0.014787725,29,0,35,NA,4,0,0,0,0
29549,0,0.011926008,84,0,35,0,10,0,0,0,0
23590,0,0,83,0,35,NA,2,0,0,0,NA
64749,0,0.021745059,71,0,35,NA,6,0,0,0,0
130590,0,0.043664944,72,0,35,NA,4,0,0,0,0
109995,0,0.148856393,29,0,35,NA,2,0,0,0,0
15725,0,0.230353929,78,0,35,NA,4,0,0,0,0
90091,0,0.023537505,65,0,35,NA,7,0,0,0,0
85218,0,0.007555531,63,0,35,NA,20,0,0,0,1
53759,0,0.073716446,52,0,34.5,1,5,0,0,0,2
138547,1,0.9999999,21,0,34,NA,1,0,0,0,0
51591,0,0.02867488,74,0,34,NA,6,0,0,0,0
72236,0,0.037461587,83,0,34,NA,3,0,1,0,0
44299,0,0.982035928,76,0,34,NA,1,0,0,0,NA
31263,0,0.926147705,26,0,34,0,2,0,0,0,0
69962,0,0.071183051,49,0,34,NA,2,0,0,0,0
96919,0,0.04412957,50,0,34,NA,7,0,0,0,0
141328,0,0.016389215,70,0,34,NA,4,0,0,0,NA
391,0,0.114588541,38,0,34,NA,2,0,0,0,0
143220,0,0.066960899,70,0,34,NA,1,0,0,0,NA
103584,0,0.045838166,60,0,34,NA,1,0,0,0,0
6819,0,0.020854166,47,0,34,NA,11,0,0,0,0
46916,0,0.108615297,25,0,34,NA,3,0,0,0,0
137908,0,0.02286807,83,0,34,NA,8,0,0,0,0
128993,0,0.023326055,67,0,34,NA,6,0,0,0,NA
145202,0,0.01777325,74,0,34,NA,9,0,0,0,0
38021,0,0.532220677,50,0,34,NA,1,0,0,0,0
35428,0,0.9999999,62,0,34,NA,0,0,0,0,0
9901,1,0,76,0,34,NA,1,0,0,1,NA
111017,0,0.030999088,61,0,34,NA,9,0,0,0,0
66569,0,0.019965233,54,0,34,NA,3,0,0,0,0
116009,0,0.004134808,73,0,34,NA,24,0,0,0,NA
53400,0,0.125638518,67,0,34,NA,1,0,0,0,0
136167,0,0.014562236,64,0,34,NA,7,0,0,0,0
97232,0,0.014334747,70,0,34,NA,8,0,0,0,0
20818,0,0.063829787,94,0,34,NA,4,0,0,0,NA
146224,0,0.028087203,82,0,34,NA,5,0,0,0,0
109910,0,0.700854701,58,1,34,NA,2,0,0,0,0
80406,0,0.085697356,43,0,34,NA,3,0,0,0,0
106164,0,0.033534517,83,0,34,NA,6,0,0,0,0
67083,0,0.029016486,90,0,34,NA,6,0,0,0,0
83846,0,0.012717623,83,0,34,NA,6,0,0,0,0
49767,0,0.07005636,36,0,34,NA,5,0,0,0,0
107784,0,0.235870231,57,0,34,NA,3,1,0,0,NA
33609,0,0.06153928,78,0,34,NA,2,0,0,0,NA
136056,0,0.025379744,37,0,33,NA,4,0,0,0,0
95101,0,0,48,0,33,NA,6,0,0,0,NA
53196,0,0.9999999,42,0,33,NA,1,0,0,0,0
142308,0,0.028957868,79,0,33,NA,8,0,0,0,0
6030,0,0.021861215,72,0,33,NA,4,0,0,0,0
36101,1,1.677740864,37,0,33,NA,1,1,0,1,2
21215,0,0.100995409,59,0,33,1,2,0,0,0,0
30633,0,0.9999999,23,0,33,NA,2,0,0,0,0
53151,0,0.064390244,76,0,33,NA,7,0,0,0,0
62909,0,0.079780016,58,0,33,NA,3,0,0,0,0
89241,0,0.9999999,63,2,33,NA,1,0,0,0,0
55046,0,0.02528574,30,0,33,NA,8,0,0,0,0
95188,0,0.011125976,73,2,33,NA,11,0,0,0,0
136604,0,0.935299715,25,0,33,0,5,0,0,0,0
68573,0,0.022739545,68,0,33,NA,5,0,0,0,0
109589,0,1.127872128,25,0,33,NA,1,0,0,0,0
30678,0,0.019166341,64,0,33,NA,10,0,0,0,0
120324,0,0.012376157,86,0,33,NA,13,0,0,0,0
62537,0,0.200872569,29,0,33,NA,9,0,0,0,0
27157,0,0.055071887,54,0,33,NA,4,0,0,0,1
20339,0,0.022960187,78,0,33,NA,8,0,0,0,NA
86195,0,0.137482815,26,0,33,0,1,0,0,0,0
41771,0,0.05559722,81,0,33,NA,2,0,0,0,NA
74656,0,0.01608737,61,0,33,0,6,0,0,0,0
77380,0,0.034822164,82,0,33,NA,12,0,0,0,NA
13748,0,0.014960329,84,0,33,NA,15,0,0,0,NA
13190,0,0.009648599,85,0,33,NA,7,0,0,0,0
58828,0,0.079184163,62,0,33,NA,1,0,0,0,0
76653,0,0.021566061,66,0,33,NA,8,0,0,0,0
31637,0,0.027592367,81,0,33,NA,6,0,0,0,0
30355,0,0.297351324,22,0,33,NA,1,0,0,0,NA
113529,0,0.038387974,80,0,33,NA,7,0,0,0,0
89615,0,0,23,0,33,NA,1,0,0,0,0
73077,0,0.04574896,69,0,32.5,1,4,0,0,0,0
51451,0,0.043162217,80,0,32.5,1,5,0,0,0,0
21495,0,0.081570768,28,0,32,NA,4,0,0,0,0
34420,0,0.053433157,88,0,32,NA,3,0,0,0,NA
91063,0,0.047908982,58,0,32,NA,7,0,0,0,0
43713,0,0.024931252,77,0,32,NA,5,0,0,0,0
120335,0,0.032439511,77,0,32,NA,3,0,0,0,0
131306,1,0.9999999,37,0,32,NA,0,0,0,0,1
55849,0,0.117704597,31,0,32,NA,3,0,0,0,0
88791,0,0.9999999,44,0,32,NA,2,0,0,0,0
121010,0,0.024098137,48,0,32,NA,4,0,0,0,0
36819,0,0.021201504,59,0,32,NA,7,0,0,0,0
114873,0,0.023990702,67,0,32,NA,3,0,0,0,NA
89702,0,0.021480356,89,0,32,NA,5,0,0,0,0
42279,0,0.035579497,92,0,32,NA,7,0,0,0,0
134828,0,0.053624822,51,0,32,NA,1,0,0,0,0
29749,0,0.023439829,70,0,32,NA,4,0,0,0,NA
72075,0,0.01112057,83,0,32,NA,14,0,0,0,NA
140635,1,0.9999999,51,0,32,NA,0,1,0,0,0
12673,0,0.057582279,53,0,32,NA,3,0,0,0,0
80897,0,0.088552916,25,0,32,NA,5,0,0,0,0
57277,0,0.9999999,28,0,32,0,2,1,0,0,0
93166,0,0,69,0,32,NA,6,0,0,0,NA
142878,0,0.015342842,72,0,32,NA,6,0,0,0,0
37479,0,0.023621516,69,0,32,NA,9,0,0,0,NA
43317,0,0.048531176,49,0,32,NA,2,0,0,0,NA
77050,0,0.051439835,70,0,32,NA,2,0,0,0,0
62922,0,0.023930369,62,0,32,NA,5,0,0,0,0
119865,0,0.028151186,61,0,32,NA,4,0,0,0,0
8719,0,0.071687767,77,0,32,NA,2,0,0,0,0
48089,0,0.004069689,66,0,32,NA,8,0,1,0,0
116594,1,0.043929906,78,0,32,NA,5,0,0,0,0
133653,0,0.029399744,77,0,32,NA,3,0,0,0,0
21734,0,0.026694878,64,0,32,NA,6,0,0,0,0
11681,0,0.014787177,76,0,32,NA,5,0,0,0,0
91182,0,0.061523501,81,0,32,NA,10,0,0,0,0
39331,0,0.040579822,32,0,31,NA,6,0,0,0,NA
50969,0,0.9999999,28,0,31,NA,0,1,0,0,0
26187,1,0.9999999,38,0,31,NA,0,0,0,0,0
57700,0,0.02176559,79,0,31,NA,7,0,0,0,0
39553,0,0.020056978,55,0,31,NA,4,0,0,0,0
23718,0,0.012211621,63,0,31,0,4,0,0,0,0
136193,0,0.053098765,73,0,31,NA,5,0,0,0,0
147393,0,0.032592731,64,0,31,NA,5,0,0,0,0
59391,0,0.284398842,23,1,31,NA,2,0,0,0,0
82681,0,0.025284811,66,0,31,NA,4,0,0,0,0
38186,0,0.130773845,51,0,31,NA,1,0,0,0,0
103816,0,0.369867904,23,0,31,NA,2,0,0,0,0
85167,0,0.049711918,63,0,31,NA,2,0,0,0,0
