SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30.59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60.89DaysPastDueNotWorse,NumberOfDependents
n,0.385947875,49,2,0.495143782,5250,13,0,0,0,0
n,0.052005638,32,0,0.388358143,4500,15,0,1,0,0
n,0.068699614,70,0,0.610918877,2600,9,0,2,0,0
n,0.226856562,57,0,1.030492785,3672,7,0,2,0,0
n,0.080315914,78,0,75,,3,0,0,0,0
n,0.240334081,40,0,0.241639818,9000,12,0,1,0,0
n,0.22338195,62,0,0.411219181,4420,8,0,1,0,0
n,0.997459597,37,0,1.162735849,1695,12,0,2,0,0
n,0.032373324,41,0,0.296418175,7900,8,0,2,0,2
n,0.046662223,84,0,0.001941946,9783,3,0,0,0,0
n,0.00710464,33,0,0.565973406,5865,8,0,1,0,0
n,0.023453124,51,0,0.421511213,7000,6,0,1,0,1
n,0.057588482,60,0,0.067109544,7375,3,0,0,0,0
n,0.9999999,35,0,235,0,4,0,0,0,0
n,0.43805701,46,0,0.283593511,13067,14,0,2,0,2
n,0.111878122,68,0,1925,,8,0,1,0,0
n,0.167286139,57,0,0.468175037,4021,10,0,1,0,1
n,0.370525895,27,0,0.151581243,2750,3,0,0,0,0
n,0.020907629,66,0,0.420283806,2395,16,0,0,0,0
n,0.526117872,71,0,0.713638081,5293,22,0,2,0,0
n,0.130567209,47,0,773,,5,0,0,0,0
n,0.000328718,74,1,0.250628141,4775,14,0,1,0,0
n,0.091136968,57,0,0.386234159,8600,15,0,3,0,0
n,0.781900123,47,0,0.196680332,10000,11,0,0,0,2
n,0.090818941,53,0,4507,,10,0,2,0,0
n,0,56,0,0.456697149,1858,7,0,1,0,2
n,0.9999999,35,0,0.291569477,3000,2,0,0,0,0
n,0.391254431,54,0,0.148242203,12600,12,0,0,0,2
n,0.021498925,43,0,939,0,7,0,1,0,0
n,0.013129472,73,0,0.34644226,6000,16,0,1,0,0
n,0.01412982,54,0,0.328315819,3520,5,0,1,0,0
n,0.122909638,51,0,0.249537208,2700,6,0,0,0,0
n,0.092715853,72,0,361,,6,0,0,0,0
n,0.18054788,51,0,0.393675527,4363,9,0,2,0,0
n,0.38976896,41,0,0.3203125,8575,8,0,1,0,2
n,0.133086691,38,1,0.53768279,8000,5,0,2,0,2
n,0.050183719,58,0,1528,,8,0,1,0,0
n,0.109910974,42,0,0.363917207,3236,10,0,1,0,0
n,0.007047052,68,0,37,,17,0,0,0,
n,0.003085538,74,0,0.185393258,8187,4,0,1,0,0
n,0.025336432,77,1,0.016005122,1561,4,0,0,0,0
n,0.208556532,69,0,87,,2,0,0,0,0
n,0.352160605,60,0,2146,,6,0,1,0,0
n,0.9999999,74,0,0.49478749,1246,3,0,0,0,0
n,0.289937076,38,2,1336,,9,2,2,0,0
n,0.133441054,56,2,0.597415265,4100,11,0,2,0,1
n,0.99260074,50,1,0.074446956,14600,4,0,0,0,3
n,0.033427616,70,0,3365,,8,0,3,0,0
n,0.108356215,31,0,0.093538022,2800,8,0,0,0,0
n,0,70,0,0,2500,4,0,0,0,0
n,0.088836447,71,0,0.010550235,6160,5,0,0,0,0
n,0.194218319,30,0,0.129247749,3442,8,0,0,0,0
n,0.068661581,31,0,0.152230216,3474,7,0,0,0,0
n,0.865963151,45,1,0.897009967,5116,11,0,2,0,2
n,0.187788158,43,0,0.273722407,16534,8,0,1,0,5
n,0.078953089,74,0,0.018996834,6000,3,0,0,0,1
n,0.580443611,28,0,0.242774566,1210,2,0,0,0,0
n,0.001155707,44,0,1,,5,0,0,0,0
n,0.376694315,55,0,0.467356782,8500,12,0,2,0,0
n,0.135803494,71,0,0.07753797,1250,4,0,0,0,0
n,0.05413899,54,0,1015,,8,0,1,0,0
n,0.07225136,72,0,0.129593432,5115,7,0,2,0,1
n,0.490169272,72,0,0.58573854,5300,15,0,2,0,1
n,0.463211501,45,0,0.421440456,4206,12,0,1,0,1
n,0.93235432,36,1,0.416373953,3700,4,0,0,1,3
n,0.042135406,43,0,733,0,3,0,1,0,3
n,0.060737013,51,0,0.226630872,18624,9,0,1,0,0
n,0.474009645,53,1,0.503973299,6291,16,1,1,0,0
n,0.050574245,74,0,0.013998667,10500,17,0,1,0,0
n,0.650582151,53,0,6096,,10,0,1,0,1
n,0.034249144,31,0,0.059350504,6250,4,0,0,0,0
n,0.018644006,74,0,0.041281139,2809,3,0,0,0,0
n,0.018622672,46,0,0.439218284,9056,4,0,2,0,3
n,0.459254075,66,0,0.824070372,2500,5,0,2,0,0
n,0.126013446,46,0,0.986805278,2500,13,0,2,0,0
n,0.257097538,89,0,337,0,6,0,0,0,0
n,0,78,1,0.297489447,4500,8,0,0,0,0
n,0.429083775,54,0,0.522454351,6078,14,0,1,0,1
n,0.085805438,39,0,1.615616748,2650,11,0,4,0,4
n,0.345925641,49,0,0.499479347,2880,8,0,0,0,0
n,0.891881083,45,1,0.755136036,1800,7,0,1,1,2
n,0.025184688,75,0,0.000429996,1.00E+05,6,0,0,0,0
n,0.577444715,34,0,0.226754649,5000,6,0,0,0,0
n,0.183039312,52,0,0.253342884,8375,24,0,2,0,0
n,0.00884164,37,1,0.442284077,4885,8,0,2,0,0
n,0.022767654,62,0,16,,2,0,0,0,0
n,0.026649334,61,0,0.0029521,10500,3,0,0,0,0
n,0.008848013,47,0,14,,5,0,0,0,0
n,0.033357861,67,0,1690,,13,0,2,0,
n,0.013469796,30,0,0.191984486,1546,9,0,0,0,0
n,0.12724513,46,0,0.643,14999,11,0,5,0,0
n,0.007395005,64,0,0.149706707,3920,4,0,1,0,1
n,0.019944223,65,0,0.032338769,10791,7,0,0,0,1
n,0.609218755,84,0,0.237089202,3833,9,0,0,0,1
n,0.073270868,54,0,0.219772934,12066,9,0,1,0,2
n,0.003241118,52,0,0.005225469,5166,11,0,0,0,0
n,0,59,0,0.902864259,802,3,0,1,0,0
n,0.184545353,36,0,0.509665622,11483,12,0,5,0,0
n,0.04786708,68,0,64,,6,0,0,0,0
n,0.043900298,43,0,0.118966617,9405,3,0,1,0,3
n,0.02082108,72,0,0.001319609,3788,6,0,0,1,1
n,0.441647665,63,0,0.348984285,5217,9,0,1,0,0
n,0.004008502,47,0,0.141723885,15000,15,0,1,0,0
n,0.018516934,61,0,0.178225451,9083,10,0,1,0,0
n,0.906264696,48,0,0.433108046,10800,13,0,3,0,2
n,0,59,0,0.114118118,7500,5,0,2,0,0
n,0.337983101,53,0,0.529976019,2084,11,0,1,0,0
n,0.291967701,56,0,0.31280468,6153,13,0,2,0,0
n,0.918163673,63,0,0.017362083,3570,4,0,0,0,0
n,0.9999999,23,0,0,,1,0,0,0,
n,0.9999999,44,4,0.371946153,6016,8,0,1,0,1
n,0.256268593,57,0,0.26140945,6200,6,0,1,0,0
n,0.296953497,53,0,0.427414057,13700,14,0,2,0,3
n,0.873258849,79,0,0.704792708,3400,11,0,2,0,0
n,0,62,0,0.677093845,1981,10,0,1,0,0
n,0.071958398,63,0,0.17917611,7500,15,1,1,0,0
n,0.091914239,28,2,0.086637787,3000,7,0,0,0,0
n,0.021433368,51,0,618,,9,0,1,0,0
n,0.762879234,46,0,0.617266526,4250,10,0,1,0,0
n,0.446547587,26,0,0.00599952,8333,2,0,0,0,0
n,0.073108417,64,0,0.290627816,6657,11,0,2,0,0
n,0.018799373,64,0,0.315811518,4774,5,0,1,0,0
n,0.060100814,67,0,0.162924152,4007,7,0,0,0,0
n,0.058996067,70,0,0.009430997,3180,5,0,0,0,0
n,0.027762888,64,0,0.4955015,3000,11,0,2,0,0
n,0.9999999,54,1,0.070584671,3300,3,2,0,1,0
n,0.780157066,52,0,3373,,10,0,1,0,0
n,0.695217464,28,0,0.086368366,3843,4,0,0,0,1
n,0.561013664,54,0,0.220194951,4000,7,0,0,0,2
n,0.311743798,62,0,0.295814884,7000,8,0,1,0,2
n,0.214918353,62,0,3174,,12,0,2,0,2
n,0.301975842,28,0,0.569892473,650,4,0,0,0,0
n,0.140929146,65,0,0.467350243,1852,10,0,0,0,1
n,0.009999882,57,0,0.224987501,18000,11,0,1,0,1
n,0.651627641,29,0,0.008180466,4033,3,0,0,0,0
n,0.527026241,40,1,0.342088197,3083,10,0,0,0,0
n,0.678069207,51,0,0.371377236,12800,10,0,4,0,1
n,0.002374941,58,0,0.276644486,9166,14,0,1,0,0
n,0.056047198,70,0,1083,,4,0,1,0,
n,0.06852319,70,0,0.510111338,4400,16,0,2,0,1
n,0.03833683,31,0,0.381633595,6500,8,0,2,0,0
n,0,70,0,2.776353276,701,15,0,1,0,0
n,0.001483775,30,0,0.337065174,2500,9,0,0,0,0
n,0,52,0,0.193687069,17677,10,0,3,0,2
n,0.095696993,50,1,1.307307933,1600,15,0,1,0,0
n,0.026318947,70,0,736,,3,0,0,0,0
n,0.079925048,65,1,0.291198617,8100,9,0,1,0,0
n,0,33,0,397,,4,0,0,0,0
n,0.026274286,62,1,0.318136373,5000,15,0,2,0,0
n,0.571987146,46,0,0.187713925,5550,9,0,0,0,1
n,0.830761517,60,1,1014,,6,1,0,2,0
n,0.394747189,63,0,0.493920562,3700,4,0,1,0,0
n,0.022127072,60,0,0.221613919,13333,13,0,2,0,0
n,0.093612393,52,0,0.121591274,6233,11,0,1,0,0
n,0,47,0,0.207080074,12400,7,0,2,0,2
n,0.407255152,37,0,0.293707378,6451,6,0,1,0,1
n,0.435712857,33,0,0.210974054,2350,7,0,0,0,0
n,0,64,0,2.576423576,1000,13,0,4,0,0
n,0.011666059,64,0,0.423905799,4500,6,0,2,0,0
n,0.063409251,54,0,0.024379626,2296,4,0,0,0,0
n,0.038019889,63,0,0.143222506,4300,11,0,1,0,0
n,0.105638829,68,0,0.06888454,5109,6,0,0,0,0
n,0.775483703,38,0,0.174386921,10642,8,0,2,0,0
n,0.42700913,42,0,0.140478882,9730,6,0,0,0,3
n,0.065751626,59,0,0.191137045,19022,10,0,2,0,2
n,0.9999999,41,1,0.016680118,7433,2,0,0,0,2
n,0,48,0,0.462679719,6537,4,0,2,0,2
n,0.004699883,61,0,1373,,13,0,1,0,0
n,0,57,0,4181,,4,0,2,0,0
n,0.563320815,39,0,0.952364633,2917,9,0,2,1,0
n,0.378134884,66,0,0.23202171,3684,13,0,0,0,2
n,0.128984991,54,0,0.212719298,2735,7,0,0,1,0
n,17441,51,1,0.354072168,14770,14,0,2,0,0
n,0.022827776,64,0,0.010189506,10500,9,0,1,0,0
n,0.80620801,48,0,0.294032375,8277,9,0,2,0,2
n,0.000835146,62,0,0.049130058,15000,6,0,1,0,2
n,0.610229013,63,0,3093,0,8,0,0,0,0
n,0.42205344,58,0,6.233741301,4166,18,0,0,0,0
n,0.9999999,23,0,4,,1,0,0,0,0
n,0.932422988,45,0,0.682074221,6035,10,0,2,0,2
n,0.357848562,45,0,0.44524438,12500,12,0,2,0,1
n,0.741762912,47,0,0.202843812,4500,2,0,0,0,0
n,0.25257181,58,0,0.359401468,7083,13,0,1,0,1
n,0.574609922,51,1,0.548752433,5650,5,0,1,0,4
n,0.157246414,55,0,0.235212773,15908,7,0,1,0,2
n,0.024161336,61,1,0.416083417,7000,9,0,1,0,0
n,0.154383329,43,0,0.491441369,6250,13,0,2,0,0
n,0,76,0,0.189438605,3900,5,0,1,0,0
n,0.809256812,40,0,0.106794589,6357,2,0,0,0,0
n,0.047126786,66,0,8489,,13,0,9,0,0
n,0.041238349,90,0,0.011180802,11000,9,0,0,0,1
n,0.030047315,53,0,3931,,5,0,2,0,0
n,0.115120413,62,0,0.02569743,10000,10,0,0,0,0
n,0.340615941,41,0,0.317636405,8833,6,0,2,0,2
n,0.169012036,72,0,138,,4,0,0,0,0
n,0.000599991,44,0,0.324911673,15000,6,0,2,0,1
n,0.211385177,52,1,0.857478203,2981,12,0,2,0,2
n,0.106795184,49,0,0.041146624,27000,11,0,1,0,3
n,0.020840435,50,0,0.762376238,100,8,0,0,0,0
n,0.458848016,36,0,0.331111547,5100,5,0,1,0,2
n,0.9999999,70,0,0.166211471,5125,4,0,1,0,0
n,0.171031959,52,0,0.703659268,3333,11,0,2,0,1
n,0.02888406,57,0,0.004121634,10917,3,0,0,0,0
n,0.169962231,24,0,1,820,5,0,0,0,0
n,0.081483001,47,0,0.173916149,14000,6,0,1,0,2
n,0.312585189,41,1,0.368441101,10500,11,0,2,0,0
n,0.014054976,50,0,0.101778117,9166,5,0,0,0,1
n,0.542516599,30,0,0.348616274,2420,6,0,0,0,0
n,0.23943662,81,0,0.259308511,5263,10,0,1,0,0
n,1.045954524,39,2,360.5,1,2,0,0,0,0
n,0.242177779,52,0,0.221014493,6347,15,0,1,0,2
n,0.9999999,78,0,38,,2,0,0,0,
n,0.718232044,58,0,0.286464088,10859,7,0,1,0,0
n,0.9999999,33,0,1786,,3,0,1,0,0
n,0.316681497,52,0,0.390272835,5900,7,0,1,0,1
n,0.001239975,57,0,0.30865092,6900,13,0,1,0,0
n,0.788442312,29,0,0.071731149,7081,3,0,0,0,0
n,0.007123538,67,0,0.442430181,2040,11,0,1,0,0
n,0.193573767,29,0,0.684026119,6278,14,0,2,0,0
n,0.005714038,49,0,0.635036496,3150,6,0,1,0,2
n,0.268744576,60,0,0.242875712,10000,6,0,1,0,0
n,0.050569768,36,1,0.224602203,6535,11,0,1,0,2
n,0.000139528,56,0,0.344389963,10400,7,0,2,0,0
n,0.016723359,71,0,0.008281972,5191,7,0,0,0,0
n,0.421956849,47,0,0.237290984,11900,12,0,2,0,2
n,0.436867374,51,0,0.064838661,6600,3,0,0,0,2
n,0.016089583,53,0,0.270783533,7529,8,0,2,0,0
n,0.085363398,54,0,0.120751699,2500,6,0,0,0,0
n,0.023839804,63,0,0.024811097,8866,6,0,1,0,0
n,0.365962576,43,0,0.845009597,2083,8,0,1,0,3
n,0.647424464,49,0,3014,,7,0,2,0,4
n,0.027411362,44,0,0.476937964,9300,11,0,4,0,1
n,0.238220222,46,0,0.152889539,4100,2,0,0,0,0
n,0.012028637,52,0,0.079986669,6000,8,0,1,0,3
n,0.000333315,31,0,438,,6,0,0,0,1
n,0.872175783,61,0,0.359334939,12870,15,0,2,0,0
n,0.176696568,57,0,0.515029556,7950,30,0,4,0,0
n,0.01804676,81,0,3140,,6,0,2,1,
n,0.00417181,61,0,0.277761999,3520,17,0,0,0,0
n,0.029500538,43,0,1.157946051,3076,10,0,3,0,0
n,0.568481831,56,0,0.330990744,5833,9,0,1,0,0
n,0.163304556,65,0,0.806251615,3870,12,0,2,0,1
n,0.9999999,39,0,0.043684389,5905,1,1,0,0,1
n,0.361416496,31,0,0.408337519,1990,6,0,1,0,1
n,0.491950416,42,0,0.866779089,4150,17,0,1,0,2
n,0.443558984,35,0,0.157039062,13900,13,0,0,0,0
n,0.124987501,26,1,0.088906624,6264,4,0,0,0,0
n,0.228395847,49,0,0.864897036,8400,11,0,4,0,1
n,0.51060737,54,2,0.350575242,10864,9,0,1,0,1
n,0.846110088,53,0,0.573272505,8986,21,0,1,0,3
n,1.401088929,22,0,351,,6,1,0,0,
n,0.974007426,30,0,0.265123619,1900,5,0,0,0,0
n,0.246063405,62,1,1924,,17,0,1,0,3
n,0.021532853,57,0,0.249147159,8500,11,0,1,0,1
n,0.05948268,56,0,0.225583611,12593,13,0,1,0,4
n,0.65849228,24,0,0.014989293,1400,1,1,0,1,1
n,0.568059617,36,0,0.645341863,2500,8,0,2,0,1
n,0.089291071,26,0,0.665042631,820,3,0,0,0,0
n,0.630602782,26,1,0.401434471,4600,6,0,1,0,0
n,0.379357933,35,1,0.281261028,8500,5,0,1,0,2
n,0.428244257,45,0,1.128297695,3600,10,0,1,0,3
n,0.100902774,33,0,2057,,11,0,1,0,0
n,0.254947559,65,0,0.210571657,16250,13,0,1,0,0
n,0.0755169,44,1,0.299890732,20133,10,0,4,0,3
n,0.023490849,65,0,0.396860314,10000,14,0,3,0,0
n,0.017908684,67,0,0.133308985,5475,11,0,1,0,0
n,0.953494524,52,0,0.548450373,2548,11,0,0,0,2
n,0.34957523,55,0,0.670257199,9097,22,0,3,0,2
n,0.21371116,62,0,0.264747332,14900,15,0,1,0,1
n,0.041027591,82,0,160,,6,0,1,0,0
n,0.065479519,68,0,1345,,12,0,0,0,1
n,0.9999999,31,0,0.22462203,4166,3,0,0,1,0
n,0.085765498,69,0,0.221137824,4200,9,0,1,0,0
n,0.031799205,54,0,0.22528327,4500,3,0,1,0,0
n,0.072868698,62,0,0.215571369,7166,13,0,1,0,0
n,0.659856553,40,0,643,0,9,0,0,2,0
n,0.420335508,57,0,0.446488562,6250,10,0,3,0,0
n,0.137056537,44,0,0.215113954,2500,9,0,1,0,2
n,0.157760249,32,0,1.025867137,1700,7,0,1,0,1
n,0.024446964,51,0,0.24811799,6508,8,0,2,0,1
n,1.08447888,51,0,0.139202581,4338,5,0,0,0,0
n,0.161572711,55,0,0.26802097,1525,5,0,0,0,1
n,0.31576917,33,0,0.287428667,11915,13,0,0,0,0
n,0.606859829,42,2,3745,,9,0,1,0,2
n,4.23E-05,51,0,0.06587473,8333,7,0,0,0,1
n,0.090614887,42,0,86,,5,0,0,0,0
n,0.061348466,59,0,0.370795734,4875,12,0,2,0,0
n,0.225189112,46,0,0.406138107,11729,9,0,3,0,3
n,0.213431184,39,0,0.315853907,4900,15,0,2,0,3
n,0.006999364,39,0,0.505338078,5338,8,0,2,0,3
n,0.210757848,54,0,0.044604317,694,2,0,0,0,0
n,0.001674601,65,0,0.000945626,2114,5,0,0,0,0
n,0.319699572,55,0,4603,,10,0,2,0,3
n,0.271216861,49,0,0.516453382,6563,8,0,2,0,0
n,0.000292128,30,0,0.776759683,2400,5,0,1,1,0
n,0.262165516,46,0,0.358770038,10666,10,0,2,0,0
n,0.799963341,47,0,0.147590361,7967,6,0,0,0,0
n,0.757976768,55,2,0.31953587,8962,10,1,2,3,1
n,1.504998388,27,0,0.085482469,3450,4,0,0,0,0
n,0.098581725,24,0,0.194573367,2800,7,0,0,0,0
n,0.952213618,55,4,0.365557316,13250,12,0,2,1,1
n,0.019087281,53,0,0.140885911,10000,7,0,1,0,0
n,0.926764314,28,0,0.056301723,7370,4,0,0,0,1
n,0,33,1,0.804195804,1000,9,0,0,0,0
n,0.18299085,72,0,0.024744608,4404,2,0,0,0,0
n,0.127521154,40,0,3136,,5,0,2,0,
n,0.189260358,70,0,0.144180396,13170,4,0,1,0,0
n,0.048641225,60,0,0.328223436,4761,13,0,2,0,1
n,0.06024247,85,0,0.004998215,2800,1,0,0,0,1
n,0.008723443,32,0,0.004751462,2735,4,0,0,0,0
n,0.036382727,58,0,717,,8,0,1,0,0
n,0.9999999,40,0,0.095646212,2916,1,0,0,0,0
n,0.03259674,67,0,0.206080526,6084,5,0,1,0,0
n,0.113179054,57,0,0.33618966,3500,5,0,0,0,0
n,0.016922147,59,2,0.233364574,3200,6,0,1,0,0
n,0.260686966,69,0,5.331597222,575,5,0,2,0,0
n,0.114474864,50,0,1045,,3,0,1,0,0
n,0.9999999,69,0,0.416379181,6666,6,0,2,0,0
n,0.035643123,62,0,0.432348367,4500,15,0,2,0,0
n,0.738559322,32,2,0.013417522,3800,2,0,0,1,0
n,0.021349401,70,0,0.145185591,7300,21,0,0,0,0
n,0.798120188,38,0,0.45407279,4615,2,0,1,0,1
n,0.16546651,54,0,0.339787292,11000,24,0,1,0,0
n,0.193983771,50,2,0.069576421,6208,12,0,0,0,0
n,0.732711215,29,0,0.338531127,8400,10,0,1,0,0
n,0.020675421,40,0,0.10023071,3900,4,0,0,0,2
n,0.997500179,38,0,3.367409685,1300,11,0,2,0,2
n,0.403231959,54,1,0.350757576,6599,16,0,2,0,0
n,0.688523575,57,1,1114,,12,0,0,0,0
n,0.582329111,48,0,0.187384976,5976,4,0,0,0,6
n,0.684769702,77,3,0.479813665,10303,16,3,2,0,1
n,0.018949053,75,0,0.002499583,6000,3,0,0,0,0
n,0.039786673,76,0,0.011729323,3324,6,0,0,0,1
n,0.940739124,44,0,0.509321698,12604,17,0,2,0,2
n,0.02177063,61,0,0.168583142,10000,12,0,1,0,1
n,0.090163645,66,0,0.65439047,18300,20,0,11,0,0
n,0.598510037,41,0,0.120200698,9167,2,0,0,0,2
n,0.051722571,42,0,0.008495752,2000,2,0,0,0,0
n,0.448874266,36,0,1.223182145,4166,9,0,3,0,0
n,0.964925775,43,0,0.932044967,7916,8,0,3,0,2
n,0.204737317,45,0,0.18973306,9739,6,0,1,0,0
n,0.396698851,30,0,1.548117155,2150,15,0,2,0,0
n,0.020403335,39,1,0.410140443,4200,19,0,1,0,0
n,0.085468912,48,0,0.369283724,6100,8,0,2,0,2
n,0.330700654,62,1,0.406481641,5800,6,0,1,0,0
n,0.9999999,23,0,143,,0,0,0,0,
n,0.036392786,65,0,0.141607299,8000,33,0,1,0,0
n,0.900420816,40,1,0.131174452,6700,6,1,0,0,1
n,0.299343045,46,0,2007,,3,0,1,0,1
n,0.32443242,65,0,0.04671916,1904,2,1,0,0,0
n,0.035225758,48,0,0.476479856,4442,16,0,1,0,2
n,0.13653642,39,0,0.267040518,12660,9,0,2,0,2
n,0,74,0,0,,5,0,0,0,0
n,0.677902126,66,0,0.231654405,5300,11,0,1,0,3
n,0.26289236,52,0,0.364815997,4700,8,0,1,0,0
n,0.124168514,46,0,0.789293249,3791,5,0,2,0,0
n,0.050345844,48,0,0.742644959,3500,15,0,1,0,0
n,0.325532768,47,1,0.165120594,10240,12,0,2,0,1
n,0.162929322,64,0,0.169581261,12465,15,0,1,0,1
n,0.28106614,62,0,1566,,13,0,2,0,0
n,0.004913628,40,0,0.421082702,7000,18,0,2,0,4
n,0.01332886,56,0,0.0059988,5000,5,0,0,0,0
n,0.9999999,44,0,200,,0,0,0,0,0
n,0.909127272,42,0,2242,,4,0,0,0,3
n,0.463068941,71,0,7508,,12,0,3,0,0
n,0.063838561,77,0,0.438512298,5000,13,0,2,0,0
n,0.9999999,69,0,0.152734129,1590,1,0,0,0,0
n,0.841315868,64,0,0.684607473,2916,2,0,1,0,0
n,0.001922094,48,0,0.361088612,6172,6,0,1,0,0
n,1.019040528,38,1,0.65901518,2700,14,0,1,0,1
n,0.093181676,55,0,0.004190077,10500,12,0,0,0,0
n,0.040619839,73,1,0.415726157,8062,18,0,1,0,0
n,0.482505831,47,1,0.253898441,2500,6,2,0,0,1
n,0.280863525,44,0,0.428081703,7000,14,0,1,0,0
n,0.004288762,41,0,0.346665098,8500,16,0,2,0,1
n,0.131140841,50,0,0.586555663,14533,12,0,7,0,2
n,0.787494049,44,1,0.575576175,3340,5,0,1,0,0
n,0,67,0,0.204841908,9582,9,0,1,0,0
n,0.378548796,47,1,0.382566933,27900,13,0,0,0,4
n,0.247104018,46,0,0.078743438,12000,5,0,0,0,5
n,0.00898738,59,0,1779,,11,0,1,0,0
n,0.753324668,54,0,0.495080394,8333,6,0,3,0,0
n,0.463257548,50,0,0.762724985,5166,11,0,2,0,1
n,0.015969491,77,0,0.128254055,7336,13,0,1,0,0
n,0.037096664,67,0,49,,8,0,0,0,0
n,0.007191561,65,0,1366,,11,0,0,0,0
n,0,77,0,1160,,7,0,1,0,0
n,0.540695046,39,0,0.672433036,3583,8,0,0,0,1
n,0.074745259,51,0,0.353569521,5616,6,0,1,0,2
n,0.450117804,57,1,1,2163,11,0,0,0,0
n,0.048580638,47,0,0.084101157,5100,4,0,0,0,3
n,0.9999999,26,0,0.338664534,2500,2,0,0,0,2
n,0.082723513,50,0,0.311240123,6200,6,0,1,0,2
n,0.166064659,77,0,2179,,16,0,1,0,0
n,0.180672773,51,0,0.334490239,6914,13,0,1,0,2
n,0.018865576,70,0,0.256193756,9000,12,0,3,0,1
n,0.061854197,43,0,0.612400983,3660,4,0,1,0,3
n,0,80,0,67,,3,0,0,0,0
n,0.063573607,78,0,223,0,19,0,0,0,0
n,0.410715105,31,0,0.179377321,3500,7,0,0,0,0
n,0.013440827,48,0,1408,,7,0,1,0,0
n,0.433101328,50,0,2433,,15,0,1,0,2
n,0.144473989,47,0,0.315594329,9169,4,0,1,0,2
n,0.018577129,45,0,0.296778067,9993,10,0,2,0,1
n,0.040086547,55,0,0.379138039,1600,11,0,1,0,0
