"srch_id","date_time","site_id","visitor_location_country_id","visitor_hist_starrating","visitor_hist_adr_usd","prop_country_id","prop_id","prop_starrating","prop_review_score","prop_brand_bool","prop_location_score1","prop_location_score2","prop_log_historical_price","position","price_usd","promotion_flag","srch_destination_id","srch_length_of_stay","srch_booking_window","srch_adults_count","srch_children_count","srch_room_count","srch_saturday_night_bool","srch_query_affinity_score","orig_destination_distance","random_bool","click_bool","gross_bookings_usd"
1155,58098,5,219,272,2444,"219",2310,3,7,1,2.89,2090,0,31,60,0,2041,1,4,2,0,1,1,75413,256691,0,0,28740
1185,19456,5,219,272,2444,"56",20403,4,8,1,4.49,551,0,12,105,0,16822,2,3,2,0,1,1,75413,289504,0,0,28740
1211,52009,5,219,272,2444,"219",56546,2,8,0,2.64,8727,0,16,64,0,1656,1,1,2,0,1,1,75413,125326,0,0,28740
1215,50927,5,219,272,2444,"219",22780,3,8,1,3.87,1216,0,16,217,0,27770,3,32,2,0,1,0,75413,134259,1,0,28740
1217,36346,5,219,272,2444,"219",77346,3,10,0,0,768,0,8,149,1,19709,2,4,2,1,1,0,75413,224939,0,0,28740
1221,19415,5,219,272,2444,"219",55526,0,6,1,1.95,775,0,12,110,0,3731,5,25,2,0,1,0,22051,61955,0,0,28740
1224,53878,32,220,272,2444,"205",97799,4,8,0,4.06,1016,0,12,92.76,1,28317,3,25,2,0,1,0,75413,175039,1,0,28740
1226,47191,22,92,272,2444,"92",57307,4,10,0,1.1,8727,0,22,99.64,0,16498,1,19,2,0,1,1,63165,289504,0,0,28740
1231,34165,5,219,272,2444,"219",30016,4,7,1,2.77,319,0,4,137,1,4335,1,4,2,0,1,1,75413,6876,1,0,28740
1235,22857,22,92,272,2444,"59",36802,4,8,0,4.51,61,0,7,162.97,1,7723,2,158,1,1,2,0,75413,289504,1,0,28740
1259,37583,14,100,272,2444,"100",23256,2,6,1,0,8724,0,33,80.87,0,6948,2,1,2,1,1,1,75413,97944,0,0,28740
1264,49094,5,219,272,2444,"219",112265,3,7,0,0.69,8727,0,4,39,0,13099,1,42,3,0,2,0,1840,129905,0,0,28740
1275,16758,5,219,272,2444,"219",140361,3,10,1,0,8727,0,10,165,0,9975,1,6,2,2,1,1,75413,186609,1,0,28740
1279,15972,5,219,272,2444,"219",135657,2,8,1,1.61,48,0,27,65,0,13202,2,1,2,0,1,0,75413,272018,0,0,28740
1288,4450,14,100,272,2444,"100",137646,5,9,1,3.61,280,0,18,360.97,1,21871,4,12,2,0,1,1,75413,81707,0,0,28740
1295,4795,5,219,272,2444,"219",49717,4,8,1,2.56,1269,0,9,84,0,19781,2,25,2,1,1,1,75413,42493,0,0,28740
1297,27919,14,100,272,2444,"100",132470,0,5,1,1.61,301,0,20,81.61,0,10403,1,1,2,0,1,0,75413,40840,1,0,28740
1347,10861,31,219,272,2444,"219",85568,0,4,0,0,980,0,7,44,0,27699,1,23,1,1,1,1,75413,213377,0,0,28740
1350,54728,5,219,272,2444,"98",35653,5,10,0,1.95,38,0,14,232,0,4460,3,358,2,2,1,1,75413,263838,0,1,26343
1417,30962,5,219,198,1902,"219",119197,3,8,1,4.72,5687,0,8,282,0,17759,3,4,1,1,1,1,75413,244436,0,0,28740
1430,49434,14,100,272,2444,"219",60876,2,1,0,0,8727,0,7,129.34,0,23904,3,43,1,1,2,0,75413,37747,0,0,28740
1438,26850,11,103,149,1371,"181",135598,3,1,1,4.32,8727,0,13,126.37,0,12907,3,105,2,1,1,1,75413,289504,0,0,28740
1447,42610,5,219,272,2444,"219",80377,4,8,1,2.83,407,0,7,199,0,15146,1,0,2,0,1,1,75413,224967,0,0,28740
1470,12421,31,219,272,2444,"219",23755,3,9,1,2.2,1459,0,8,125,0,9739,1,12,2,0,1,0,75413,182526,0,0,28740
1477,59087,18,129,272,2444,"219",16631,2,8,0,3.87,2768,0,36,98.87,0,8081,3,113,2,0,1,0,75413,177334,0,0,28740
1479,27616,15,55,272,2444,"55",93846,4,1,0,2.94,8727,0,21,86.38,0,22780,5,190,2,0,1,0,75413,289504,0,0,28740
1501,37386,14,100,272,2444,"99",93749,4,9,1,3.14,3830,0,2,152.83,0,18465,1,36,2,0,1,1,75413,166825,0,0,28740
1504,4514,14,31,272,2444,"31",93153,4,8,0,4.72,3169,0,6,291.89,0,4924,1,1,2,0,1,0,75413,102,0,0,28740
1506,28999,14,100,272,2444,"219",122060,4,9,1,3.47,1797,0,18,169.12,0,11409,2,97,2,0,1,1,75413,25198,0,0,28740
1511,49071,5,219,272,2444,"219",107320,2,6,1,0.69,306,0,15,68,0,4637,2,48,2,0,1,0,75413,164834,1,0,28740
1515,22549,29,132,272,2444,"99",111016,3,8,0,0,255,0,2,139.81,0,1547,3,46,2,0,1,0,75413,289504,1,1,28740
1551,43295,5,219,272,2444,"219",139076,0,9,0,3.04,353,0,19,80,0,11073,2,25,2,2,1,0,75413,88247,1,0,28740
1601,55298,5,219,272,2444,"221",131254,5,8,1,2.77,2023,0,8,141,0,4238,3,65,1,0,1,0,11116,224696,0,1,28740
1603,55033,5,219,272,2444,"219",100371,3,10,1,0,162,0,30,163,0,9397,1,6,2,0,1,1,75413,289504,0,0,28740
1604,22037,5,219,272,2444,"219",75725,4,8,1,2.56,207,0,30,99,0,3821,1,9,2,0,1,1,75413,252101,0,0,28740
1606,56742,5,219,272,2444,"219",50377,2,6,1,2.71,8727,0,7,73,0,19386,3,0,4,0,2,1,75413,162059,1,0,28740
1612,9063,15,55,272,2444,"55",13411,4,7,1,2.94,8727,0,26,61.62,1,10250,1,200,2,0,1,0,75413,289504,0,0,28740
1629,52045,14,100,272,2444,"100",19408,3,9,0,1.95,1678,0,4,143.27,0,14711,1,3,2,0,1,1,75413,243361,1,0,28740
1650,3883,5,219,272,2444,"219",69738,4,9,1,3.58,8727,0,35,329,0,305,1,19,1,0,1,1,75413,91599,0,0,28740
1656,53349,15,55,272,2444,"219",122112,5,10,1,4.29,2660,0,16,247.22,0,8192,4,287,2,0,1,1,75413,289504,1,0,28740
1658,17691,5,219,272,2444,"219",92564,3,10,1,1.1,91,0,8,189,0,4384,1,118,1,0,1,0,75413,76903,0,0,28740
1661,46627,5,219,122,1173,"219",12962,3,8,0,0,8727,0,13,114,0,19045,1,47,1,0,1,1,75413,107914,0,0,28740
1670,27897,24,216,272,2444,"103",91818,3,1,0,1.39,8727,0,28,111.88,0,11197,1,21,2,0,1,1,75413,289504,1,0,28740
1672,38633,14,100,272,2444,"100",63454,4,8,1,2.64,628,0,3,107.83,0,3410,1,120,2,0,1,1,75413,139260,0,0,28740
1679,5170,15,55,272,2444,"219",47846,3,8,1,0.69,8718,0,24,153.21,0,4562,3,171,1,1,2,1,75413,289504,0,0,28740
1719,3934,5,219,272,2444,"219",52423,3,9,1,2.83,2096,0,13,125,0,4375,1,10,3,0,3,1,75413,186240,1,0,28740
1722,54656,11,103,193,1367,"53",17270,4,8,1,2.3,275,0,6,178.03,0,13791,3,2,1,1,2,0,75413,289504,0,0,28740
1754,35185,4,50,272,2444,"219",13674,4,8,0,2.94,1387,0,6,102.22,0,3095,2,15,2,1,1,0,75413,164347,0,0,28740
1776,37937,14,100,272,2444,"219",5302,0,7,0,2.56,2283,0,28,62.58,0,3278,2,84,2,0,1,1,22586,235456,0,0,28740
1777,53967,5,219,272,2444,"219",112345,2,4,0,3.66,1050,0,24,140,0,27770,1,16,1,1,1,1,75413,289504,0,0,28740
1787,3655,5,219,272,2444,"219",63,3,8,1,2.48,2263,0,2,89,0,13066,1,1,1,0,1,0,75413,28389,0,1,280
1808,54001,14,100,272,2444,"100",3394,4,9,0,3.91,1778,0,7,161.31,1,19898,1,3,2,0,1,0,75413,222339,0,0,28740
1814,5743,5,219,272,2444,"219",132114,2,8,1,2.64,8727,0,26,99,0,14246,1,72,2,0,1,1,75413,84839,0,0,28740
1826,38386,5,219,272,2444,"219",108987,2,4,1,2.56,8727,0,38,75,1,10428,4,5,2,0,1,0,75413,163128,0,0,28740
1827,14846,12,99,272,2444,"219",105307,4,9,1,5.92,4260,0,34,330.43,0,24700,7,136,3,0,1,0,75413,289504,0,0,28740
1830,57721,5,219,272,2444,"219",13603,4,9,1,5.61,698,0,15,206,0,4562,2,26,2,1,1,1,75413,289504,1,0,28740
1846,44727,18,129,272,2444,"129",70383,4,7,1,3.47,2883,0,2,148.27,0,12552,2,61,2,0,1,1,75413,17284,1,0,28740
1848,642,5,219,272,2444,"219",105125,3,8,1,3.89,3918,4.98,6,309,0,16810,2,55,4,3,2,1,75413,34222,1,1,28740
1857,26603,26,39,272,2444,"14",140760,3,5,0,2.3,8727,0,22,42.35,0,620,1,2,1,0,1,0,75413,289504,1,0,28740
1864,33660,5,219,272,2444,"219",55965,1,3,0,4.32,4104,0,16,85,0,21908,1,2,2,0,1,1,75413,93901,0,0,28740
1865,33626,5,219,272,2444,"219",30992,5,8,0,5.19,1312,0,19,249,0,23605,1,6,1,2,1,0,75413,285356,0,0,28740
1872,32942,5,219,272,2444,"219",27969,4,7,0,3.33,3316,0,1,146,1,20874,2,4,2,0,1,1,11791,124301,0,0,28740
1881,23730,5,219,272,2444,"219",109310,4,8,1,0,853,0,1,237,0,19035,4,46,2,0,1,0,75413,118719,0,0,28740
1886,26959,5,219,272,2444,"219",131510,2,6,0,1.39,16,0,28,75,0,11897,1,6,1,0,1,1,75413,246967,0,0,28740
1897,54019,11,103,272,2444,"220",102562,5,9,1,4.83,3415,0,19,320.32,0,25981,2,26,2,0,1,0,75413,289504,0,0,28740
1905,7127,14,100,272,2444,"100",136400,4,8,0,0,88,0,26,153.74,0,19215,2,73,2,0,1,1,75413,47255,1,0,28740
1920,24905,5,219,272,2444,"219",48283,0,6,1,2.08,3795,0,7,72,0,19252,2,50,2,0,1,1,75413,289504,0,0,28740
1935,37197,5,219,272,2444,"100",44736,4,9,1,3.91,2089,0,7,185,0,19898,2,15,2,0,1,1,75413,86328,0,0,28740
1937,5215,5,219,272,2444,"81",100242,4,6,1,0,47,0,34,82,1,19688,8,28,2,0,1,0,75413,266847,1,0,28740
1944,17148,5,219,272,2444,"219",99838,2,8,1,1.61,1964,0,1,70,0,6026,1,1,2,0,2,0,75413,279142,0,0,28740
1945,13898,5,219,272,2444,"219",26353,2,9,1,2.71,8727,0,1,70,0,3170,2,6,2,0,1,1,75413,23149,1,0,28740
1959,42908,5,219,272,2444,"219",44630,3,7,1,0.69,8727,0,9,149,0,18449,1,103,2,0,1,1,75413,267156,1,0,28740
1964,11920,5,219,272,2444,"100",106646,3,9,0,1.39,51,0,32,123,0,4601,1,20,2,2,1,1,75413,156829,1,0,28740
1969,50613,15,55,272,2444,"55",55012,4,7,0,5.27,453,0,26,1274.12,0,10979,1,0,2,0,1,0,75413,289504,0,0,28740
1975,13873,5,219,272,2444,"219",133857,2,8,1,1.1,8727,0,4,70,0,13099,1,0,2,0,1,1,75413,266460,1,0,28740
1984,30584,5,219,272,2444,"31",79038,0,11,1,1.79,8727,0,29,141,0,221,1,126,2,0,1,0,75413,223597,0,0,28740
1996,54835,5,219,272,2444,"219",67099,4,9,1,2.08,1173,0,1,159,0,6511,1,0,3,2,1,1,75413,240639,0,0,28740
2002,34171,5,219,272,2444,"219",15866,3,7,1,0.69,8727,0,25,72,0,5690,3,30,2,2,1,1,75413,128011,0,0,28740
2010,9962,5,219,272,2444,"219",94586,3,9,1,3.18,58,0,33,122,0,18495,2,15,2,0,1,1,75413,230591,1,0,28740
2013,15372,5,219,272,2444,"219",58845,4,9,1,2.56,262,0,31,149,0,21808,2,12,2,0,1,1,75413,38714,0,0,28740
2023,41905,5,219,272,2444,"219",120074,2,5,1,2.2,4,0,15,41,0,23605,4,6,4,1,2,1,75413,83686,0,0,28740
2039,40801,5,219,272,2444,"219",62924,0,8,0,1.95,8727,0,14,114,0,9907,1,1,1,0,1,1,75413,289504,0,1,10499
2049,9176,5,219,272,2444,"219",101496,2,7,0,1.39,488,0,7,225,0,4948,3,29,2,2,1,1,75413,289504,1,0,28740
2071,37686,16,181,198,1004,"219",137514,5,9,1,4.74,5973,0,14,190.38,1,17759,3,16,1,0,1,1,75413,289504,0,0,28740
2075,46404,16,31,272,2444,"39",47308,4,8,0,4.33,746,0,30,149.57,0,15122,3,47,2,0,1,1,75413,229304,1,0,28740
2081,12544,3,14,272,2444,"219",41712,4,9,1,5.79,3746,0,20,803.59,1,24700,3,206,8,0,2,0,75413,289504,1,0,28740
2083,23354,14,100,272,2444,"219",85877,4,9,0,1.1,4568,0,1,67.72,0,14230,8,45,4,0,1,0,75413,31736,0,0,28740
2087,12215,5,219,272,2444,"219",46658,3,10,1,1.1,192,0,34,159,0,6771,3,39,1,1,1,0,75413,287861,0,0,28740
2090,40030,24,216,272,2444,"216",78179,4,9,1,4.72,1525,0,1,136.53,1,20497,4,19,1,0,1,0,75413,289504,1,0,28740
2096,10502,5,219,272,2444,"59",84385,3,5,0,2.64,207,0,8,173,0,24708,1,2,2,0,1,1,3607,283109,0,0,28740
2106,38292,5,219,272,2444,"99",18919,3,7,1,3.33,536,0,20,179,0,14375,3,6,1,0,1,0,75413,289504,0,0,28740
2112,44785,15,55,272,2444,"219",17464,3,1,0,2.3,924,0,1,118.72,0,15471,1,103,2,0,1,1,10135,289504,0,0,28740
2130,44007,15,55,272,2444,"99",16321,2,7,0,2.08,8727,0,20,144.93,0,14412,5,51,2,0,1,0,75413,289504,1,0,28740
2135,24100,5,219,272,2444,"219",38038,3,9,1,1.1,4253,0,3,159,0,4574,1,7,3,0,2,1,75413,165363,0,0,28740
2138,28853,5,219,272,2444,"219",99752,3,8,1,0.69,202,0,19,91,0,11885,6,8,2,2,1,0,75413,151367,0,0,28740
2153,41628,5,219,272,2444,"219",19534,3,8,1,1.95,8727,0,6,186,0,24496,2,13,2,1,1,1,5922,264858,0,0,28740
2154,4312,14,100,272,2444,"23",82719,3,8,0,4.74,48,0,18,142.05,0,26993,1,29,1,0,1,0,75413,178776,0,0,28740
2155,13910,5,219,272,2444,"219",121317,4,8,1,0.69,25,0,6,166,0,18774,3,77,2,0,1,1,75413,142338,1,0,28740
2160,26934,22,92,272,2444,"219",64777,3,8,1,2.83,14,0,18,95.99,1,10999,3,94,2,0,1,0,75413,289504,0,0,28740
2175,43687,5,219,272,2444,"219",11826,5,9,1,3.22,555,0,1,383,1,5521,1,11,2,0,1,1,75413,79238,0,0,28740
2186,13079,24,216,272,2444,"215",17834,3,7,1,5.36,227,0,6,98.75,0,2303,1,42,1,1,2,1,75413,289504,0,1,1080
2198,43253,15,55,272,2444,"99",36402,3,7,0,0,8727,0,14,117.18,0,10130,1,30,2,0,1,0,75413,289504,0,0,28740
2199,52175,5,219,272,2444,"219",14107,2,7,1,3.61,1274,0,22,143,0,9265,1,16,2,0,1,1,75413,266441,1,0,28740
2210,57846,5,77,272,2444,"219",68420,3,7,0,3.04,504,0,33,34,1,8192,2,0,2,0,1,0,75413,289504,0,0,28740
2226,54861,5,219,272,2444,"219",10746,5,9,1,5.86,6707,0,2,247,1,24700,1,0,1,0,1,1,75413,210761,0,0,28740
2235,24672,5,219,272,2444,"219",10082,2,7,1,2.3,8727,0,12,136,0,23100,2,120,2,1,1,1,75413,97187,0,0,28740
2245,9899,14,100,272,2444,"100",58948,3,10,1,1.79,8727,0,15,148.09,0,4475,2,27,2,2,1,0,75413,80418,0,0,28740
2246,33520,7,100,272,2444,"219",121287,4,8,1,4.66,5735,0,6,280.06,0,7322,3,36,1,0,1,0,75413,177215,0,0,28740
2255,9435,14,100,272,2444,"100",122416,4,8,1,2.4,2512,0,2,247.46,0,18722,2,19,4,0,1,0,75413,264680,0,0,28740
2270,52113,24,216,272,2444,"100",106075,4,8,0,3.5,3290,0,16,161.88,0,18948,1,69,2,0,1,0,75413,289504,0,0,28740
2273,17406,5,219,272,2444,"219",14480,3,9,0,5.18,3296,0,8,234,1,9402,3,82,2,0,1,1,75413,73470,1,0,28740
2300,13675,5,39,272,2444,"219",8150,2,5,1,3.37,700,0,7,100,0,2463,2,14,2,2,1,1,75413,289504,0,0,28740
2318,6756,14,100,272,2444,"59",2699,3,11,0,4.23,8727,0,10,112.16,0,15632,7,220,2,1,1,0,75413,80932,1,0,28740
